# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* AKMGFOCH_00038      K06911   93.27  306.7   1.3e-91 quercetin 2,3-dioxygenase [EC:1.13.11.24]
* AKMGFOCH_00040      K08358  262.13  359.5  3.7e-108 tetrathionate reductase subunit B
* AKMGFOCH_00041      K08359  204.37  360.2    4e-108 tetrathionate reductase subunit C
* AKMGFOCH_00042      K08357  763.13 1498.1         0 tetrathionate reductase subunit A
* AKMGFOCH_00044      K02200   22.93  107.5   4.3e-31 cytochrome c-type biogenesis protein CcmH
* AKMGFOCH_00045      K02199   93.00  240.0   1.1e-71 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
* AKMGFOCH_00046      K02198  483.20  873.8  4.6e-263 cytochrome c-type biogenesis protein CcmF
* AKMGFOCH_00047      K02197   40.33  207.7   5.1e-62 cytochrome c-type biogenesis protein CcmE
* AKMGFOCH_00048      K02196   25.90   40.7   7.7e-11 heme exporter protein D
* AKMGFOCH_00049      K02195   89.33  288.5   1.8e-86 heme exporter protein C
* AKMGFOCH_00050      K02194   56.80  208.7   4.7e-62 heme exporter protein B
* AKMGFOCH_00051      K02193  193.57  218.8   3.4e-65 heme exporter protein A [EC:7.6.2.5]
* AKMGFOCH_00052      K02569  297.93  350.7  1.5e-105 cytochrome c-type protein NapC
* AKMGFOCH_00053      K02568   29.60  194.7   6.9e-58 nitrate reductase (cytochrome), electron transfer subunit
* AKMGFOCH_00054      K02567  778.23 1465.7         0 nitrate reductase (cytochrome) [EC:1.9.6.1]
* AKMGFOCH_00055      K02570   34.40  115.5   8.1e-34 periplasmic nitrate reductase NapD
* AKMGFOCH_00056      K02571   42.07   83.5   2.3e-24 periplasmic nitrate reductase NapE
* AKMGFOCH_00057      K18013  108.70  270.8   7.9e-81 3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]
* AKMGFOCH_00059      K17737  268.13  362.3  7.3e-109 LysR family transcriptional regulator, carnitine catabolism transcriptional activator
* AKMGFOCH_00062      K07795   99.77  329.3   1.5e-98 putative tricarboxylic transport membrane protein
* AKMGFOCH_00063      K14051  733.20 1112.2         0 c-di-GMP phosphodiesterase Gmr [EC:3.1.4.52]
* AKMGFOCH_00064      K13816  207.37  376.5  2.7e-113 DSF synthase
* AKMGFOCH_00065      K02014  162.10  310.5   1.2e-92 iron complex outermembrane recepter protein
* AKMGFOCH_00068      K07795   99.77  281.2     6e-84 putative tricarboxylic transport membrane protein
* AKMGFOCH_00073      K00059  266.63  295.9   2.1e-88 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* AKMGFOCH_00074      K18900  320.60  431.2  1.5e-129 LysR family transcriptional regulator, regulator for bpeEF and oprC
* AKMGFOCH_00076      K16088  500.73  770.6  7.8e-232 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
* AKMGFOCH_00076      K02014  162.10  319.6   2.1e-95 iron complex outermembrane recepter protein
* AKMGFOCH_00078      K04343   76.07  268.2   5.1e-80 streptomycin 6-kinase [EC:2.7.1.72]
* AKMGFOCH_00079      K03574   67.00   93.5   4.6e-27 8-oxo-dGTP diphosphatase [EC:3.6.1.55]
* AKMGFOCH_00080      K18476   78.30  216.7   1.7e-64 TetR/AcrR family transcriptional regulator, tetracycline repressor protein
* AKMGFOCH_00081      K08151  346.10  408.6  1.3e-122 MFS transporter, DHA1 family, tetracycline resistance protein
* AKMGFOCH_00084      K08172  484.47  607.7  4.8e-183 MFS transporter, MHS family, shikimate and dehydroshikimate transport protein
* AKMGFOCH_00086      K01999  174.37  192.6   5.5e-57 branched-chain amino acid transport system substrate-binding protein
* AKMGFOCH_00090      K07795   99.77  304.9     4e-91 putative tricarboxylic transport membrane protein
* AKMGFOCH_00094      K18199  195.57  287.2   8.4e-86 cyclohexyl-isocyanide hydratase [EC:4.2.1.103]
* AKMGFOCH_00095      K03719  128.80  217.1   1.1e-64 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* AKMGFOCH_00098      K11690  203.20  331.5   2.8e-99 C4-dicarboxylate transporter, DctM subunit
* AKMGFOCH_00098      K21394  105.97  109.7   5.5e-32 TRAP-type transport system small permease protein
* AKMGFOCH_00099      K21395  108.40  283.5   1.4e-84 TRAP-type transport system periplasmic protein
* AKMGFOCH_00101      K00626   69.50  163.1     4e-48 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* AKMGFOCH_00102      K00666  585.27  611.0  1.7e-183 fatty-acyl-CoA synthase [EC:6.2.1.-]
* AKMGFOCH_00104      K06934   40.93   43.8   6.9e-12 uncharacterized protein
* AKMGFOCH_00105      K06934   40.93   81.2   2.6e-23 uncharacterized protein
* AKMGFOCH_00108      K01434  399.83  529.0  1.2e-158 penicillin G amidase [EC:3.5.1.11]
* AKMGFOCH_00109      K16014  874.80 1055.9         0 ATP-binding cassette, subfamily C, bacterial CydCD
* AKMGFOCH_00109      K16013  495.90  509.2  6.6e-153 ATP-binding cassette, subfamily C, bacterial CydD
* AKMGFOCH_00109      K16012  450.53  482.3  8.2e-145 ATP-binding cassette, subfamily C, bacterial CydC
* AKMGFOCH_00110      K03566  205.53  270.6   8.9e-81 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* AKMGFOCH_00113      K01458   83.97  376.1  9.3e-113 N-formylglutamate deformylase [EC:3.5.1.68]
* AKMGFOCH_00114      K18900  320.60  341.6  2.4e-102 LysR family transcriptional regulator, regulator for bpeEF and oprC
* AKMGFOCH_00117      K16137  112.03  167.5     2e-49 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
* AKMGFOCH_00118      K02035  246.87  353.9  6.8e-106 peptide/nickel transport system substrate-binding protein
* AKMGFOCH_00121      K22550   93.67  104.2   1.2e-30 D-hydroxyproline dehydrogenase subunit gamma
* AKMGFOCH_00124      K02033  271.33  407.2  4.5e-122 peptide/nickel transport system permease protein
* AKMGFOCH_00125      K02034  258.23  363.5  6.9e-109 peptide/nickel transport system permease protein
* AKMGFOCH_00126      K02031  437.70  539.2  9.9e-162 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_00127      K02032  423.43  488.6  1.6e-146 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_00130      K02529  269.53  334.7  4.1e-100 LacI family transcriptional regulator
* AKMGFOCH_00132      K01426  293.00  352.0  2.7e-105 amidase [EC:3.5.1.4]
* AKMGFOCH_00134      K05595   70.63  196.0   3.1e-58 multiple antibiotic resistance protein
* AKMGFOCH_00140      K01142  227.50  314.2   6.5e-94 exodeoxyribonuclease III [EC:3.1.11.2]
* AKMGFOCH_00144      K05799  137.50  199.1   5.7e-59 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* AKMGFOCH_00146      K00793   66.13  212.6   1.8e-63 riboflavin synthase [EC:2.5.1.9]
* AKMGFOCH_00148      K13021  517.40  541.5  4.6e-163 MFS transporter, ACS family, tartrate transporter
* AKMGFOCH_00150      K03790  111.80  121.4   1.9e-35 [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
* AKMGFOCH_00151      K01534  737.33  907.4  3.2e-273 Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
* AKMGFOCH_00157      K23514  168.77  231.9   1.4e-69 RNA polymerase sigma-19 factor, ECF subfamily
* AKMGFOCH_00157      K03088   59.37   89.5     1e-25 RNA polymerase sigma-70 factor, ECF subfamily
* AKMGFOCH_00158      K07165   43.50  219.5     4e-65 transmembrane sensor
* AKMGFOCH_00159      K02014  162.10  341.0  6.7e-102 iron complex outermembrane recepter protein
* AKMGFOCH_00160      K00166  417.70  470.9  2.7e-141 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
* AKMGFOCH_00161      K00167  475.17  511.2  1.1e-153 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
* AKMGFOCH_00162      K09699  444.20  552.7    3e-166 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]
* AKMGFOCH_00163      K00382  457.63  563.4  1.6e-169 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
* AKMGFOCH_00165      K01755  186.20  757.9  5.1e-228 argininosuccinate lyase [EC:4.3.2.1]
* AKMGFOCH_00166      K16053  180.67  551.7  4.3e-166 miniconductance mechanosensitive channel
* AKMGFOCH_00167      K01950  502.77  590.0  2.5e-177 NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]
* AKMGFOCH_00168      K04752  201.23  211.8   2.5e-63 nitrogen regulatory protein P-II 2
* AKMGFOCH_00168      K04751  114.67  208.4   2.8e-62 nitrogen regulatory protein P-II 1
* AKMGFOCH_00172      K02455  401.93  451.7  1.2e-135 general secretion pathway protein F
* AKMGFOCH_00173      K02453  284.10  590.7  1.6e-177 general secretion pathway protein D
* AKMGFOCH_00174      K02454  625.67  665.2  3.4e-200 general secretion pathway protein E [EC:7.4.2.8]
* AKMGFOCH_00176      K02014  162.10  215.2   7.8e-64 iron complex outermembrane recepter protein
* AKMGFOCH_00177      K02463   28.80   96.5   1.4e-27 general secretion pathway protein N
* AKMGFOCH_00178      K02462   51.30   90.3   7.6e-26 general secretion pathway protein M
* AKMGFOCH_00179      K02461   69.83  140.6   4.2e-41 general secretion pathway protein L
* AKMGFOCH_00180      K02460   50.17  208.6   6.3e-62 general secretion pathway protein K
* AKMGFOCH_00181      K02459   63.90  123.4   4.6e-36 general secretion pathway protein J
* AKMGFOCH_00182      K02458   59.23  105.4   1.6e-30 general secretion pathway protein I
* AKMGFOCH_00183      K02457   76.60  112.0   1.2e-32 general secretion pathway protein H
* AKMGFOCH_00184      K02456   79.27  179.3   4.2e-53 general secretion pathway protein G
* AKMGFOCH_00185      K02452   55.40   68.1   3.6e-19 general secretion pathway protein C
* AKMGFOCH_00188      K01114  136.90  581.9  6.3e-175 phospholipase C [EC:3.1.4.3]
* AKMGFOCH_00190      K00681  533.17  613.0  3.1e-184 gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
* AKMGFOCH_00191      K02035  246.87  373.6  7.1e-112 peptide/nickel transport system substrate-binding protein
* AKMGFOCH_00192      K02033  271.33  396.7  6.7e-119 peptide/nickel transport system permease protein
* AKMGFOCH_00193      K02034  258.23  408.6  1.5e-122 peptide/nickel transport system permease protein
* AKMGFOCH_00194      K13892  905.37  912.9    4e-275 glutathione transport system ATP-binding protein
* AKMGFOCH_00194      K02031  437.70  860.7  6.1e-259 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_00194      K02032  423.43  469.7  8.5e-141 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_00196      K16137  112.03  146.1   6.6e-43 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
* AKMGFOCH_00199      K03181   56.97  183.7   1.7e-54 chorismate lyase [EC:4.1.3.40]
* AKMGFOCH_00200      K06182  256.83  395.3  1.5e-118 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
* AKMGFOCH_00202      K03585  257.10  408.3  2.2e-122 membrane fusion protein, multidrug efflux system
* AKMGFOCH_00203      K18138 1357.60 1672.1         0 multidrug efflux pump
* AKMGFOCH_00204      K18139  391.37  610.1  1.6e-183 outer membrane protein, multidrug efflux system
* AKMGFOCH_00206      K07152   55.43  177.9   1.4e-52 protein SCO1
* AKMGFOCH_00208      K01414  791.47  894.2  2.3e-269 oligopeptidase A [EC:3.4.24.70]
* AKMGFOCH_00209      K01491  407.60  477.7  1.9e-143 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
* AKMGFOCH_00210      K14987  259.30  282.4     1e-84 two-component system, LuxR family, response regulator FixJ
* AKMGFOCH_00210      K13041  245.60  259.1   8.4e-78 two-component system, LuxR family, response regulator TtrR
* AKMGFOCH_00211      K14986  334.80  341.7    3e-102 two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]
* AKMGFOCH_00212      K00163  339.27 1477.3         0 pyruvate dehydrogenase E1 component [EC:1.2.4.1]
* AKMGFOCH_00213      K00627  476.83  562.3  5.4e-169 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
* AKMGFOCH_00214      K00382  457.63  687.1  5.6e-207 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
* AKMGFOCH_00216      K18900  320.60  421.6  1.2e-126 LysR family transcriptional regulator, regulator for bpeEF and oprC
* AKMGFOCH_00219      K02406  128.63  327.6     3e-98 flagellin
* AKMGFOCH_00221      K02405  185.00  313.6   8.8e-94 RNA polymerase sigma factor FliA
* AKMGFOCH_00222      K02403   31.23  155.2   7.4e-46 flagellar transcriptional activator FlhD
* AKMGFOCH_00223      K02402   57.47  289.7   2.7e-87 flagellar transcriptional activator FlhC
* AKMGFOCH_00224      K02556   82.50  245.6   2.4e-73 chemotaxis protein MotA
* AKMGFOCH_00225      K02557  141.30  253.9   9.4e-76 chemotaxis protein MotB
* AKMGFOCH_00226      K03413  136.90  144.1     2e-42 two-component system, chemotaxis family, chemotaxis protein CheY
* AKMGFOCH_00227      K03407  529.13  735.1  4.3e-221 two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
* AKMGFOCH_00228      K03408  110.30  153.7   3.2e-45 purine-binding chemotaxis protein CheW
* AKMGFOCH_00229      K05874  646.33  770.3  7.8e-232 methyl-accepting chemotaxis protein I, serine sensor receptor
* AKMGFOCH_00229      K03406   64.93  447.5  3.2e-134 methyl-accepting chemotaxis protein
* AKMGFOCH_00230      K00575  159.83  330.9   4.9e-99 chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
* AKMGFOCH_00231      K03412  205.47  481.7  1.2e-144 two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]
* AKMGFOCH_00232      K03413  136.90  170.7   1.5e-50 two-component system, chemotaxis family, chemotaxis protein CheY
* AKMGFOCH_00233      K03414   55.50  256.2   2.3e-76 chemotaxis protein CheZ
* AKMGFOCH_00234      K03406   64.93  168.7   8.6e-50 methyl-accepting chemotaxis protein
* AKMGFOCH_00235      K02401  372.67  526.8  2.6e-158 flagellar biosynthesis protein FlhB
* AKMGFOCH_00235      K04061  106.83  107.1   3.1e-31 flagellar biosynthesis protein
* AKMGFOCH_00236      K02400  735.07 1013.7         0 flagellar biosynthesis protein FlhA
* AKMGFOCH_00237      K02404  170.43  476.3  3.8e-143 flagellar biosynthesis protein FlhF
* AKMGFOCH_00238      K02399   35.47  123.1   4.8e-36 flagellar biosynthesis protein FlgN
* AKMGFOCH_00239      K02398   27.60   67.0   8.5e-19 negative regulator of flagellin synthesis FlgM
* AKMGFOCH_00240      K02386   46.97  221.5   8.9e-66 flagellar basal body P-ring formation protein FlgA
* AKMGFOCH_00241      K02387   71.57  175.0   9.2e-52 flagellar basal-body rod protein FlgB
* AKMGFOCH_00242      K02388   58.63  199.9   1.6e-59 flagellar basal-body rod protein FlgC
* AKMGFOCH_00243      K02389   45.13  200.8   1.8e-59 flagellar basal-body rod modification protein FlgD
* AKMGFOCH_00244      K02390  311.90  431.7  2.4e-129 flagellar hook protein FlgE
* AKMGFOCH_00246      K02392  294.33  352.2  9.9e-106 flagellar basal-body rod protein FlgG
* AKMGFOCH_00247      K02393   47.80  266.6   7.4e-80 flagellar L-ring protein FlgH
* AKMGFOCH_00248      K02394  127.27  554.8  5.9e-167 flagellar P-ring protein FlgI
* AKMGFOCH_00249      K02395   34.87  224.6     1e-66 peptidoglycan hydrolase FlgJ
* AKMGFOCH_00250      K02396   98.40  490.9    3e-147 flagellar hook-associated protein 1
* AKMGFOCH_00251      K02397  143.33  251.7   4.3e-75 flagellar hook-associated protein 3 FlgL
* AKMGFOCH_00252      K05874  646.33  764.3    5e-230 methyl-accepting chemotaxis protein I, serine sensor receptor
* AKMGFOCH_00252      K03406   64.93  450.3  4.5e-135 methyl-accepting chemotaxis protein
* AKMGFOCH_00253      K05874  646.33  736.2  1.6e-221 methyl-accepting chemotaxis protein I, serine sensor receptor
* AKMGFOCH_00253      K03406   64.93  415.0  2.2e-124 methyl-accepting chemotaxis protein
* AKMGFOCH_00255      K05874  646.33  752.3  2.2e-226 methyl-accepting chemotaxis protein I, serine sensor receptor
* AKMGFOCH_00255      K03406   64.93  445.0  1.8e-133 methyl-accepting chemotaxis protein
* AKMGFOCH_00256      K03776  376.20  612.8  3.4e-184 aerotaxis receptor
* AKMGFOCH_00256      K03406   64.93  380.4  6.6e-114 methyl-accepting chemotaxis protein
* AKMGFOCH_00257      K02014  162.10  339.5  1.9e-101 iron complex outermembrane recepter protein
* AKMGFOCH_00258      K02421  164.77  292.1   1.6e-87 flagellar biosynthesis protein FliR
* AKMGFOCH_00259      K02420   87.37  112.4   2.9e-33 flagellar biosynthesis protein FliQ
* AKMGFOCH_00260      K02419  283.57  400.4  3.9e-120 flagellar biosynthesis protein FliP
* AKMGFOCH_00261      K02418   22.67   89.7   6.3e-26 flagellar protein FliO/FliZ
* AKMGFOCH_00262      K02417   64.77  183.3   2.3e-54 flagellar motor switch protein FliN
* AKMGFOCH_00263      K02416   99.93  332.7   1.3e-99 flagellar motor switch protein FliM
* AKMGFOCH_00264      K02415   30.10  118.7   1.3e-34 flagellar protein FliL
* AKMGFOCH_00265      K02414   53.43  123.7   4.4e-36 flagellar hook-length control protein FliK
* AKMGFOCH_00266      K02413   31.23   88.1   2.7e-25 flagellar protein FliJ
* AKMGFOCH_00267      K02412  626.07  706.7  5.3e-213 flagellum-specific ATP synthase [EC:7.4.2.8]
* AKMGFOCH_00268      K02411   81.33  144.5   2.1e-42 flagellar assembly protein FliH
* AKMGFOCH_00269      K02410   80.93  336.0  1.6e-100 flagellar motor switch protein FliG
* AKMGFOCH_00270      K02409  134.20  627.3  1.2e-188 flagellar M-ring protein FliF
* AKMGFOCH_00271      K02408   40.97  111.1   3.2e-32 flagellar hook-basal body complex protein FliE
* AKMGFOCH_00272      K21087   76.43  218.7   2.3e-65 flagellar brake protein
* AKMGFOCH_00273      K04061  106.83  137.4   1.6e-40 flagellar biosynthesis protein
* AKMGFOCH_00275      K02423   24.47   90.1   7.9e-26 flagellar protein FliT
* AKMGFOCH_00276      K02422   25.03  137.8   1.9e-40 flagellar secretion chaperone FliS
* AKMGFOCH_00277      K02407   75.60  348.5  2.6e-104 flagellar hook-associated protein 2
* AKMGFOCH_00278      K06603   26.90   93.4   6.9e-27 flagellar protein FlaG
* AKMGFOCH_00282      K07795   99.77  336.5    1e-100 putative tricarboxylic transport membrane protein
* AKMGFOCH_00284      K11754  369.40  495.5  1.1e-148 dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
* AKMGFOCH_00285      K03749   83.43  131.4   1.9e-38 DedD protein
* AKMGFOCH_00286      K03558   42.60  154.4   1.3e-45 membrane protein required for colicin V production
* AKMGFOCH_00287      K00764  187.70  664.0    8e-200 amidophosphoribosyltransferase [EC:2.4.2.14]
* AKMGFOCH_00288      K07043  125.70  294.9   1.2e-88 UTP pyrophosphatase [EC:3.6.1.-]
* AKMGFOCH_00289      K03611   39.63  105.4     1e-30 protein dithiol:quinone oxidoreductase [EC:1.8.5.9]
* AKMGFOCH_00290      K05595   70.63  190.7   1.2e-56 multiple antibiotic resistance protein
* AKMGFOCH_00291      K00990  174.57  917.3  3.6e-276 [protein-PII] uridylyltransferase [EC:2.7.7.59]
* AKMGFOCH_00292      K01265  143.10  333.3  8.7e-100 methionyl aminopeptidase [EC:3.4.11.18]
* AKMGFOCH_00293      K02967  118.50  376.7  6.2e-113 small subunit ribosomal protein S2
* AKMGFOCH_00294      K02357   58.13  366.6  8.8e-110 elongation factor Ts
* AKMGFOCH_00295      K09903   92.47  354.0  3.5e-106 uridylate kinase [EC:2.7.4.22]
* AKMGFOCH_00296      K02838   24.87  234.9     6e-70 ribosome recycling factor
* AKMGFOCH_00297      K00806  344.07  385.2  1.2e-115 undecaprenyl diphosphate synthase [EC:2.5.1.31]
* AKMGFOCH_00298      K00981   52.50  182.6   4.4e-54 phosphatidate cytidylyltransferase [EC:2.7.7.41]
* AKMGFOCH_00299      K00099  221.83  578.7  4.1e-174 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
* AKMGFOCH_00300      K11749   71.83  232.5   3.5e-69 regulator of sigma E protease [EC:3.4.24.-]
* AKMGFOCH_00301      K07277  287.10  611.2  1.8e-183 outer membrane protein insertion porin family
* AKMGFOCH_00302      K06142   38.80  176.4   2.6e-52 outer membrane protein
* AKMGFOCH_00303      K02536  195.53  449.2  5.9e-135 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
* AKMGFOCH_00304      K02372   70.70  216.6   1.6e-64 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
* AKMGFOCH_00305      K00677  202.83  389.3  5.1e-117 UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
* AKMGFOCH_00306      K00748  146.90  493.3  5.1e-148 lipid-A-disaccharide synthase [EC:2.4.1.182]
* AKMGFOCH_00307      K03470  126.33  277.3   6.6e-83 ribonuclease HII [EC:3.1.26.4]
* AKMGFOCH_00308      K03437  207.43  239.1   2.8e-71 RNA methyltransferase, TrmH family
* AKMGFOCH_00310      K09773  309.13  353.4  4.4e-106 [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]
* AKMGFOCH_00311      K01007  391.93 1084.2         0 pyruvate, water dikinase [EC:2.7.9.2]
* AKMGFOCH_00313      K02014  162.10  359.4  1.9e-107 iron complex outermembrane recepter protein
* AKMGFOCH_00314      K07165   43.50  241.4     9e-72 transmembrane sensor
* AKMGFOCH_00315      K03088   59.37  110.6   4.1e-32 RNA polymerase sigma-70 factor, ECF subfamily
* AKMGFOCH_00316      K10778  214.47  401.0  3.5e-120 AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]
* AKMGFOCH_00316      K00567   82.17  165.2   8.9e-49 methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
* AKMGFOCH_00317      K01951  102.90  111.4   1.5e-32 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
* AKMGFOCH_00321      K03664   59.23  239.6   1.5e-71 SsrA-binding protein
* AKMGFOCH_00322      K18588   32.30  121.9   1.5e-35 coenzyme Q-binding protein COQ10
* AKMGFOCH_00323      K09801   50.30  133.2   3.1e-39 uncharacterized protein
* AKMGFOCH_00324      K00249  374.13  398.8  1.7e-119 acyl-CoA dehydrogenase [EC:1.3.8.7]
* AKMGFOCH_00326      K00020  288.63  391.8  1.8e-117 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
* AKMGFOCH_00328      K22736   37.77  234.0   8.3e-70 vacuolar iron transporter family protein
* AKMGFOCH_00329      K06980  196.77  251.9     5e-75 tRNA-modifying protein YgfZ
* AKMGFOCH_00331      K07082   45.33  346.5  8.1e-104 UPF0755 protein
* AKMGFOCH_00332      K00943   95.17  231.0     1e-68 dTMP kinase [EC:2.7.4.9]
* AKMGFOCH_00333      K02341  235.83  269.1   3.9e-80 DNA polymerase III subunit delta' [EC:2.7.7.7]
* AKMGFOCH_00334      K03424   87.07  291.3     5e-87 TatD DNase family protein [EC:3.1.21.-]
* AKMGFOCH_00337      K02030   87.10  195.9   3.5e-58 polar amino acid transport system substrate-binding protein
* AKMGFOCH_00338      K02029  212.03  278.4   3.4e-83 polar amino acid transport system permease protein
* AKMGFOCH_00339      K02028  376.33  438.9    9e-132 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* AKMGFOCH_00340      K01479  195.87  373.1  5.8e-112 formiminoglutamase [EC:3.5.3.8]
* AKMGFOCH_00341      K26080  525.77  790.3  2.9e-238 N-acylhexosamine oxidase [EC:1.1.3.29]
* AKMGFOCH_00342      K00261  532.87  562.2  4.7e-169 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
* AKMGFOCH_00344      K03800  251.33  278.6   4.7e-83 lipoate---protein ligase [EC:6.3.1.20]
* AKMGFOCH_00347      K11209  250.50  393.5  3.8e-118 GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]
* AKMGFOCH_00347      K00799   63.80  129.1   9.8e-38 glutathione S-transferase [EC:2.5.1.18]
* AKMGFOCH_00349      K03719  128.80  143.0   4.7e-42 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* AKMGFOCH_00350      K00432   45.20  266.3     2e-79 glutathione peroxidase [EC:1.11.1.9]
* AKMGFOCH_00351      K19577  405.43  443.3  4.1e-133 MFS transporter, DHA1 family, inner membrane transport protein
* AKMGFOCH_00355      K03566  205.53  261.1   6.7e-78 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* AKMGFOCH_00356      K22129  282.40  318.3   3.5e-95 D-threonate/D-erythronate kinase [EC:2.7.1.219 2.7.1.220]
* AKMGFOCH_00357      K00097  413.87  430.7  2.6e-129 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
* AKMGFOCH_00359      K03776  376.20  603.0  3.3e-181 aerotaxis receptor
* AKMGFOCH_00359      K03406   64.93  352.1  2.3e-105 methyl-accepting chemotaxis protein
* AKMGFOCH_00360      K01669  379.57  494.6    3e-148 deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
* AKMGFOCH_00365      K15977   60.40   84.3   4.6e-24 putative oxidoreductase
