# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* APNAJNJK_00046      K09022   75.57   83.0   9.3e-24 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
* APNAJNJK_00047      K01485  142.50  508.9  4.8e-153 cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
* APNAJNJK_00048      K23536  183.17  331.3   2.8e-99 general nucleoside transport system permease protein
* APNAJNJK_00049      K23535  267.70  333.0   1.1e-99 general nucleoside transport system permease protein
* APNAJNJK_00050      K23537  581.27  687.3  5.8e-207 general nucleoside transport system ATP-binding protein
* APNAJNJK_00051      K07335  112.43  267.8     7e-80 basic membrane protein A and related proteins
* APNAJNJK_00052      K03975   63.63   91.2   2.3e-26 membrane-associated protein
* APNAJNJK_00053      K00077   99.67  229.0   3.5e-68 2-dehydropantoate 2-reductase [EC:1.1.1.169]
* APNAJNJK_00054      K07118  127.60  265.2   2.4e-79 uncharacterized protein
* APNAJNJK_00060      K02858  339.57  340.2  3.5e-102 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]
* APNAJNJK_00061      K07117  129.80  147.9   1.7e-43 uncharacterized protein
* APNAJNJK_00062      K08994   67.43  269.5   1.7e-80 ion channel-forming bestrophin family protein
* APNAJNJK_00063      K03719  128.80  204.7   6.6e-61 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* APNAJNJK_00064      K01652  506.80  773.7  6.6e-233 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
* APNAJNJK_00065      K00046  315.50  320.1   2.9e-96 gluconate 5-dehydrogenase [EC:1.1.1.69]
* APNAJNJK_00065      K00059  266.63  270.8   8.2e-81 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* APNAJNJK_00066      K02050  137.87  206.2   2.8e-61 NitT/TauT family transport system permease protein
* APNAJNJK_00069      K03169  545.27  964.4  2.1e-290 DNA topoisomerase III [EC:5.6.2.1]
* APNAJNJK_00071      K01894  316.00  412.1  8.1e-124 glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
* APNAJNJK_00072      K03747   65.20  172.6   1.6e-51 Smg protein
* APNAJNJK_00074      K07080   85.37  347.2  6.4e-104 uncharacterized protein
* APNAJNJK_00075      K19967  510.83  570.7  5.2e-172 D-threonine aldolase [EC:4.1.2.42]
* APNAJNJK_00077      K02028  376.33  412.3    1e-123 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* APNAJNJK_00078      K02029  212.03  242.9   1.9e-72 polar amino acid transport system permease protein
* APNAJNJK_00079      K02029  212.03  238.7   3.6e-71 polar amino acid transport system permease protein
* APNAJNJK_00080      K02030   87.10  142.9   4.1e-42 polar amino acid transport system substrate-binding protein
* APNAJNJK_00081      K09946   29.87   92.3   1.1e-26 uncharacterized protein
* APNAJNJK_00082      K07795   99.77  292.8   1.7e-87 putative tricarboxylic transport membrane protein
* APNAJNJK_00083      K00821  487.60  521.0  1.3e-156 acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
* APNAJNJK_00086      K13633  283.13  410.3  2.7e-123 AraC family transcriptional regulator, transcriptional activator FtrA
* APNAJNJK_00088      K08973   45.50  101.1     2e-29 protoporphyrinogen IX oxidase [EC:1.3.99.-]
* APNAJNJK_00093      K05834  159.47  168.2   5.1e-50 homoserine/homoserine lactone efflux protein
* APNAJNJK_00097      K05799  137.50  199.8   3.2e-59 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* APNAJNJK_00098      K08169  391.37  604.6  2.7e-182 MFS transporter, DHA2 family, multidrug resistance protein
* APNAJNJK_00099      K16088  500.73  839.3  1.2e-252 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
* APNAJNJK_00099      K02014  162.10  303.7   1.2e-90 iron complex outermembrane recepter protein
* APNAJNJK_00100      K07165   43.50  167.3   2.4e-49 transmembrane sensor
* APNAJNJK_00101      K03088   59.37   95.4   1.5e-27 RNA polymerase sigma-70 factor, ECF subfamily
* APNAJNJK_00102      K20034  715.50  756.4    7e-228 3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]
* APNAJNJK_00104      K00249  374.13  400.8  4.1e-120 acyl-CoA dehydrogenase [EC:1.3.8.7]
* APNAJNJK_00105      K00059  266.63  282.0   3.4e-84 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* APNAJNJK_00106      K24012  662.93  806.2  1.8e-242 acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
* APNAJNJK_00107      K07795   99.77  205.0   7.6e-61 putative tricarboxylic transport membrane protein
* APNAJNJK_00108      K07068   34.70   73.0   9.2e-21 uncharacterized protein
* APNAJNJK_00109      K00626   69.50   93.5   4.6e-27 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* APNAJNJK_00111      K08225  201.67  262.2   2.7e-78 MFS transporter, ENTS family, enterobactin (siderophore) exporter
* APNAJNJK_00111      K08217  217.57  227.3   9.9e-68 MFS transporter, DHA3 family, macrolide efflux protein
* APNAJNJK_00114      K01968  898.83 1016.8         0 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
* APNAJNJK_00114      K13777  893.47  910.8  3.8e-274 geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]
* APNAJNJK_00114      K11263  823.27  828.3  1.5e-249 acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
* APNAJNJK_00115      K01969  781.63 1080.4         0 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
* APNAJNJK_00116      K00626   69.50  551.3  9.5e-166 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* APNAJNJK_00117      K00906  374.07  852.6  4.6e-257 isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
* APNAJNJK_00118      K00253  490.43  754.4  2.6e-227 isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
* APNAJNJK_00119      K01451  524.50  559.5  3.7e-168 hippurate hydrolase [EC:3.5.1.32]
* APNAJNJK_00120      K07795   99.77  283.0   1.6e-84 putative tricarboxylic transport membrane protein
* APNAJNJK_00121      K09771   41.97  171.9   4.1e-51 small multidrug resistance family-3 protein
* APNAJNJK_00124      K05834  159.47  164.6   6.5e-49 homoserine/homoserine lactone efflux protein
* APNAJNJK_00128      K01999  174.37  186.3   4.2e-55 branched-chain amino acid transport system substrate-binding protein
* APNAJNJK_00129      K03673   73.63  228.5   3.3e-68 protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
* APNAJNJK_00130      K03749   83.43   84.7   3.4e-24 DedD protein
* APNAJNJK_00131      K01887  117.77  467.6  2.8e-140 arginyl-tRNA synthetase [EC:6.1.1.19]
* APNAJNJK_00134      K05815  311.37  335.4  1.1e-100 sn-glycerol 3-phosphate transport system permease protein
* APNAJNJK_00134      K02026  269.80  282.6   1.9e-84 multiple sugar transport system permease protein
* APNAJNJK_00135      K05814  348.90  359.7  4.8e-108 sn-glycerol 3-phosphate transport system permease protein
* APNAJNJK_00135      K02025  284.97  317.2   6.8e-95 multiple sugar transport system permease protein
* APNAJNJK_00136      K05813  335.13  449.5  5.5e-135 sn-glycerol 3-phosphate transport system substrate-binding protein
* APNAJNJK_00136      K02027  198.00  258.1   7.3e-77 multiple sugar transport system substrate-binding protein
* APNAJNJK_00138      K03651  109.53  239.7   1.7e-71 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
* APNAJNJK_00139      K02529  269.53  309.4   1.7e-92 LacI family transcriptional regulator
* APNAJNJK_00141      K01649  466.37  656.3  1.8e-197 2-isopropylmalate synthase [EC:2.3.3.13]
* APNAJNJK_00142      K07795   99.77  298.3   3.6e-89 putative tricarboxylic transport membrane protein
* APNAJNJK_00144      K03092   63.07  547.7  9.1e-165 RNA polymerase sigma-54 factor
* APNAJNJK_00146      K19092   34.97   74.9   2.5e-21 toxin ParE1/3/4
* APNAJNJK_00147      K02192   60.20   78.6   1.7e-22 bacterioferritin-associated ferredoxin
* APNAJNJK_00150      K03594   81.97  235.9   2.1e-70 bacterioferritin [EC:1.16.3.1]
* APNAJNJK_00152      K02837  501.23  816.2  3.9e-246 peptide chain release factor 3
* APNAJNJK_00153      K05834  159.47  251.5   1.9e-75 homoserine/homoserine lactone efflux protein
* APNAJNJK_00154      K11927  551.20  697.1  5.9e-210 ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
* APNAJNJK_00158      K02031  437.70  825.0  3.4e-248 peptide/nickel transport system ATP-binding protein
* APNAJNJK_00158      K02032  423.43  438.9  1.6e-131 peptide/nickel transport system ATP-binding protein
* APNAJNJK_00159      K02034  258.23  342.1    2e-102 peptide/nickel transport system permease protein
* APNAJNJK_00160      K02033  271.33  383.9  4.8e-115 peptide/nickel transport system permease protein
* APNAJNJK_00161      K02035  246.87  365.2  2.4e-109 peptide/nickel transport system substrate-binding protein
* APNAJNJK_00164      K07506  137.33  193.8   2.3e-57 AraC family transcriptional regulator
* APNAJNJK_00168      K03566  205.53  334.6  2.9e-100 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* APNAJNJK_00171      K03299   85.03  461.0  1.5e-138 gluconate:H+ symporter, GntP family
* APNAJNJK_00174      K03600   42.87  175.7     2e-52 stringent starvation protein B
* APNAJNJK_00175      K03599  162.33  319.6   8.4e-96 stringent starvation protein A
* APNAJNJK_00175      K00799   63.80  106.9   4.9e-31 glutathione S-transferase [EC:2.5.1.18]
* APNAJNJK_00176      K00413   62.80  173.6   2.3e-51 ubiquinol-cytochrome c reductase cytochrome c1 subunit
* APNAJNJK_00177      K00412  300.27  662.3  1.5e-199 ubiquinol-cytochrome c reductase cytochrome b subunit
* APNAJNJK_00178      K00411   78.03  222.4   3.2e-66 ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
* APNAJNJK_00179      K03282   37.87  166.9   2.1e-49 large conductance mechanosensitive channel
* APNAJNJK_00181      K04771  293.13  308.8   2.8e-92 serine protease Do [EC:3.4.21.107]
* APNAJNJK_00183      K03118   65.43  310.5   3.8e-93 sec-independent protein translocase protein TatC
* APNAJNJK_00184      K03117   75.37  103.6   5.6e-30 sec-independent protein translocase protein TatB
* APNAJNJK_00185      K03116   57.67   74.3   3.5e-21 sec-independent protein translocase protein TatA
* APNAJNJK_00186      K02503   86.70  163.4   2.7e-48 histidine triad (HIT) family protein
* APNAJNJK_00187      K01523  126.20  156.8   1.8e-46 phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
* APNAJNJK_00188      K01496  194.00  217.8   9.1e-65 phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
* APNAJNJK_00189      K02500  315.63  473.8  2.4e-142 imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
* APNAJNJK_00190      K01814  259.27  348.1  3.2e-104 phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
* APNAJNJK_00191      K02501  239.00  325.1   1.7e-97 imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
* APNAJNJK_00192      K01693  297.30  339.5  3.9e-102 imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
* APNAJNJK_00193      K00817  291.80  393.6  6.1e-118 histidinol-phosphate aminotransferase [EC:2.6.1.9]
* APNAJNJK_00194      K00013  513.17  643.9  1.6e-193 histidinol dehydrogenase [EC:1.1.1.23]
* APNAJNJK_00195      K00765  171.10  274.1   9.3e-82 ATP phosphoribosyltransferase [EC:2.4.2.17]
* APNAJNJK_00196      K00790  199.87  651.1  3.3e-196 UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
* APNAJNJK_00197      K05527   70.27   77.5   3.6e-22 BolA family transcriptional regulator, general stress-responsive regulator
* APNAJNJK_00199      K01990  259.07  282.0   3.2e-84 ABC-2 type transport system ATP-binding protein
* APNAJNJK_00200      K07323   50.20  215.5   3.3e-64 phospholipid transport system substrate-binding protein
* APNAJNJK_00201      K04754  104.83  327.3   3.5e-98 phospholipid-binding lipoprotein MlaA
* APNAJNJK_00202      K02067   83.03  124.7   1.7e-36 phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
* APNAJNJK_00203      K02066   40.93  259.3   1.6e-77 phospholipid/cholesterol/gamma-HCH transport system permease protein
* APNAJNJK_00204      K02065  299.20  367.4  4.3e-110 phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
* APNAJNJK_00205      K00459  104.33  386.0  1.6e-115 nitronate monooxygenase [EC:1.13.12.16]
* APNAJNJK_00206      K07795   99.77  328.7   2.2e-98 putative tricarboxylic transport membrane protein
* APNAJNJK_00208      K21959  236.07  281.0   3.2e-84 LysR family transcriptional regulator, cell division regulator
* APNAJNJK_00209      K07275   65.73  251.0   4.3e-75 outer membrane protein
* APNAJNJK_00211      K07160  106.60  367.8  2.4e-110 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
* APNAJNJK_00212      K02160   90.23  124.9   1.4e-36 acetyl-CoA carboxylase biotin carboxyl carrier protein
* APNAJNJK_00213      K01961  731.60  732.3  1.2e-220 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
* APNAJNJK_00215      K23124  330.60  344.9    2e-103 5-oxoprolinase (ATP-hydrolysing) subunit C [EC:3.5.2.9]
* APNAJNJK_00217      K00266  524.03  642.1  3.9e-193 glutamate synthase (NADPH) small chain [EC:1.4.1.13]
* APNAJNJK_00218      K00265 1953.37 2362.0         0 glutamate synthase (NADPH) large chain [EC:1.4.1.13]
* APNAJNJK_00219      K07491   15.57   48.5   3.6e-13 REP-associated tyrosine transposase
* APNAJNJK_00220      K01070  176.37  514.6  1.5e-154 S-formylglutathione hydrolase [EC:3.1.2.12]
* APNAJNJK_00222      K03089  250.67  413.8  1.9e-124 RNA polymerase sigma-32 factor
* APNAJNJK_00223      K03651  109.53  211.9   4.8e-63 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
* APNAJNJK_00224      K03316  390.37  754.6    5e-227 monovalent cation:H+ antiporter, CPA1 family
* APNAJNJK_00226      K02275  202.80  348.2  3.9e-104 cytochrome c oxidase subunit II [EC:7.1.1.9]
* APNAJNJK_00227      K02274  781.07  899.8  7.8e-271 cytochrome c oxidase subunit I [EC:7.1.1.9]
* APNAJNJK_00230      K02276  189.57  233.7   9.9e-70 cytochrome c oxidase subunit III [EC:7.1.1.9]
* APNAJNJK_00232      K14998   64.93  145.9   7.1e-43 surfeit locus 1 family protein
* APNAJNJK_00234      K02259   58.70  257.3   1.1e-76 heme a synthase [EC:1.17.99.9]
* APNAJNJK_00235      K02257  131.33  348.4  2.8e-104 heme o synthase [EC:2.5.1.141]
* APNAJNJK_00236      K07152   55.43  198.0     1e-58 protein SCO1
* APNAJNJK_00238      K06077   43.60  109.8     8e-32 outer membrane lipoprotein SlyB
* APNAJNJK_00240      K04042  306.37  735.1  2.7e-221 bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
* APNAJNJK_00241      K08169  391.37  585.2  2.1e-176 MFS transporter, DHA2 family, multidrug resistance protein
* APNAJNJK_00242      K00012  386.90  674.7  9.1e-203 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
* APNAJNJK_00244      K03719  128.80  160.6   1.8e-47 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* APNAJNJK_00245      K00820  192.13  844.3  3.5e-254 glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
* APNAJNJK_00250      K02014  162.10  346.5  1.4e-103 iron complex outermembrane recepter protein
* APNAJNJK_00251      K23185  225.83  353.4  3.6e-106 ferric enterobactin transport system substrate-binding protein
* APNAJNJK_00253      K23187  361.47  387.4  4.4e-116 iron-siderophore transport system permease protein
* APNAJNJK_00254      K23188  474.30  483.7  3.8e-145 iron-siderophore transport system ATP-binding protein [EC:7.2.2.17 7.2.2.-]
* APNAJNJK_00254      K02013  262.67  347.1    6e-104 iron complex transport system ATP-binding protein [EC:7.2.2.-]
* APNAJNJK_00258      K00797  100.87  109.8   4.9e-32 spermidine synthase [EC:2.5.1.16]
* APNAJNJK_00263      K00278  505.73  633.0  1.2e-190 L-aspartate oxidase [EC:1.4.3.16]
* APNAJNJK_00264      K03517   87.87  420.0    3e-126 quinolinate synthase [EC:2.5.1.72]
* APNAJNJK_00267      K01459  234.80  502.4  1.2e-151 N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]
* APNAJNJK_00268      K01750  409.40  549.0    1e-165 ornithine cyclodeaminase [EC:4.3.1.12]
* APNAJNJK_00270      K00606   86.30  392.4  9.6e-118 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
* APNAJNJK_00271      K21699  208.40  430.9  1.2e-129 LysR family transcriptional regulator, transcriptional activator for bauABCD operon
* APNAJNJK_00272      K03307  287.80  346.7  8.3e-104 solute:Na+ symporter, SSS family
* APNAJNJK_00273      K18459  414.23  454.6  4.8e-137 guanidinopropionase [EC:3.5.3.17]
* APNAJNJK_00273      K01480  183.27  360.6  4.8e-108 agmatinase [EC:3.5.3.11]
* APNAJNJK_00275      K20534  339.23  498.6    9e-150 polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
* APNAJNJK_00276      K15726 1185.73 1593.7         0 heavy metal efflux system protein
* APNAJNJK_00277      K15727  261.00  367.3  4.7e-110 membrane fusion protein, heavy metal efflux system
* APNAJNJK_00278      K15725  203.87  328.9   3.1e-98 outer membrane protein, heavy metal efflux system
* APNAJNJK_00280      K07665  327.83  362.4  4.2e-109 two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR
* APNAJNJK_00280      K02483  235.13  267.8   5.3e-80 two-component system, OmpR family, response regulator
* APNAJNJK_00281      K07644  404.30  418.6  1.5e-125 two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]
* APNAJNJK_00285      K11751  422.50  474.0  2.8e-142 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
* APNAJNJK_00286      K00121  617.43  700.4  6.2e-211 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
* APNAJNJK_00287      K23239  111.40  129.8   2.1e-38 FrmR/RcnR family transcriptional regulator, repressor of frmRAB operon
* APNAJNJK_00288      K05836  197.23  396.7  1.5e-119 GntR family transcriptional regulator, histidine utilization repressor
* APNAJNJK_00288      K03710  167.27  188.9   6.9e-56 GntR family transcriptional regulator
* APNAJNJK_00289      K09975   46.80  193.0   2.3e-57 uncharacterized protein
* APNAJNJK_00290      K01712  281.47  876.5  6.7e-264 urocanate hydratase [EC:4.2.1.49]
* APNAJNJK_00291      K03457  195.13  282.2   3.1e-84 nucleobase:cation symporter-1, NCS1 family
* APNAJNJK_00292      K01745  421.73  738.9  1.5e-222 histidine ammonia-lyase [EC:4.3.1.3]
* APNAJNJK_00293      K01468  272.07  632.7  4.2e-190 imidazolonepropionase [EC:3.5.2.7]
* APNAJNJK_00294      K03406   64.93  383.3  8.3e-115 methyl-accepting chemotaxis protein
* APNAJNJK_00295      K08169  391.37  645.2  1.3e-194 MFS transporter, DHA2 family, multidrug resistance protein
* APNAJNJK_00297      K07346  179.47  199.4   3.5e-59 fimbrial chaperone protein
* APNAJNJK_00298      K07347  575.10  587.5    2e-176 outer membrane usher protein
* APNAJNJK_00303      K05301  490.07  636.3  5.7e-192 sulfite dehydrogenase (cytochrome) subunit A [EC:1.8.2.1]
* APNAJNJK_00306      K06137   94.97  206.7   2.3e-61 pyrroloquinoline-quinone synthase [EC:1.3.3.11]
* APNAJNJK_00310      K05799  137.50  147.9   1.8e-43 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* APNAJNJK_00311      K07090   40.10   45.5   1.7e-12 uncharacterized protein
* APNAJNJK_00313      K22187  546.33  629.3  1.2e-189 alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]
* APNAJNJK_00314      K11477   32.93  116.5   4.5e-34 glc operon protein GlcG
* APNAJNJK_00315      K00523  374.80  416.1  7.8e-125 CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
* APNAJNJK_00317      K02031  437.70  843.3    1e-253 peptide/nickel transport system ATP-binding protein
* APNAJNJK_00317      K02032  423.43  446.8  6.5e-134 peptide/nickel transport system ATP-binding protein
* APNAJNJK_00318      K02034  258.23  315.0   3.3e-94 peptide/nickel transport system permease protein
* APNAJNJK_00319      K02033  271.33  378.7  1.8e-113 peptide/nickel transport system permease protein
* APNAJNJK_00320      K02035  246.87  394.3  3.7e-118 peptide/nickel transport system substrate-binding protein
* APNAJNJK_00324      K20938  479.43  774.0  5.1e-233 long-chain alkane monooxygenase [EC:1.14.14.28]
* APNAJNJK_00325      K02073   97.27  384.7  1.9e-115 D-methionine transport system substrate-binding protein
* APNAJNJK_00326      K00299   97.17  162.5     5e-48 FMN reductase [EC:1.5.1.38]
* APNAJNJK_00327      K15553  190.57  325.5   2.1e-97 sulfonate transport system substrate-binding protein
* APNAJNJK_00328      K04091  330.37  592.8  1.8e-178 alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
* APNAJNJK_00329      K15554  237.90  349.5  8.9e-105 sulfonate transport system permease protein
* APNAJNJK_00329      K02050  137.87  230.9   9.5e-69 NitT/TauT family transport system permease protein
* APNAJNJK_00331      K02071  328.77  404.8  1.8e-121 D-methionine transport system ATP-binding protein
* APNAJNJK_00332      K02072  177.53  305.4   2.2e-91 D-methionine transport system permease protein
* APNAJNJK_00333      K02073   97.27  321.0     4e-96 D-methionine transport system substrate-binding protein
* APNAJNJK_00334      K15555  333.57  336.3  7.7e-101 sulfonate transport system ATP-binding protein [EC:7.6.2.14]
* APNAJNJK_00339      K22278   71.83  123.1   4.8e-36 peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
* APNAJNJK_00345      K00124  172.03  348.7  1.4e-104 formate dehydrogenase iron-sulfur subunit
* APNAJNJK_00346      K00127   92.80  214.8   4.9e-64 formate dehydrogenase subunit gamma
* APNAJNJK_00347      K02380   46.00  359.8    7e-108 FdhE protein
* APNAJNJK_00348      K01042  242.57  624.8  4.7e-188 L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
* APNAJNJK_00349      K03833  298.73  446.9  4.4e-134 selenocysteine-specific elongation factor
* APNAJNJK_00352      K02199   93.00  120.7   2.6e-35 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
* APNAJNJK_00354      K01008  146.20  491.4  1.1e-147 selenide, water dikinase [EC:2.7.9.3]
* APNAJNJK_00356      K03566  205.53  295.4   2.5e-88 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* APNAJNJK_00359      K09959   46.57  227.5   4.2e-68 uncharacterized protein
* APNAJNJK_00360      K00138  737.13 1085.2         0 aldehyde dehydrogenase [EC:1.2.1.-]
* APNAJNJK_00361      K21405  474.83  600.4  1.9e-180 sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
* APNAJNJK_00362      K01609  313.93  401.0    2e-120 indole-3-glycerol phosphate synthase [EC:4.1.1.48]
* APNAJNJK_00363      K00766  129.63  459.9  3.9e-138 anthranilate phosphoribosyltransferase [EC:2.4.2.18]
* APNAJNJK_00364      K01658  241.60  326.9   2.4e-98 anthranilate synthase component II [EC:4.1.3.27]
* APNAJNJK_00364      K01664  294.90  324.1   1.8e-97 para-aminobenzoate synthetase component II [EC:2.6.1.85]
* APNAJNJK_00365      K01657  467.03  661.2  6.2e-199 anthranilate synthase component I [EC:4.1.3.27]
* APNAJNJK_00366      K01091  121.67  207.9   9.5e-62 phosphoglycolate phosphatase [EC:3.1.3.18]
