locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKMGFOCH_00083	CDS	786	cloR_1	1.13.11.83		4-hydroxy-3-prenylphenylpyruvate oxygenase/4-hydroxy-3-prenylbenzoate synthase
AKMGFOCH_00084	CDS	1329	abaF_1			Fosfomycin resistance protein AbaF
AKMGFOCH_00085	CDS	600	nsaD_1	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
AKMGFOCH_00086	CDS	1287				hypothetical protein
AKMGFOCH_00087	CDS	744	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
AKMGFOCH_00088	CDS	1608	fadD3_1	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
AKMGFOCH_00089	CDS	1035				hypothetical protein
AKMGFOCH_00090	CDS	1005				hypothetical protein
AKMGFOCH_00091	CDS	723	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AKMGFOCH_00092	CDS	387				hypothetical protein
AKMGFOCH_00093	CDS	972				hypothetical protein
AKMGFOCH_00094	CDS	660	inhA	4.2.1.103		Isonitrile hydratase
AKMGFOCH_00095	CDS	483	lrp_1		COG1522	Leucine-responsive regulatory protein
AKMGFOCH_00096	CDS	630	leuE_1		COG1280	Leucine efflux protein
AKMGFOCH_00097	CDS	1899	atm1_1		COG5265	ATM1-type heavy metal exporter
AKMGFOCH_00098	CDS	1893	siaT_1		COG1593	Sialic acid TRAP transporter permease protein SiaT
AKMGFOCH_00099	CDS	1014			COG1638	putative protein
AKMGFOCH_00100	CDS	777				hypothetical protein
AKMGFOCH_00101	CDS	1173	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
AKMGFOCH_00102	CDS	1671		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
AKMGFOCH_00103	CDS	765	bacC_2	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
AKMGFOCH_00104	CDS	564				hypothetical protein
AKMGFOCH_00105	CDS	393				hypothetical protein
AKMGFOCH_00106	CDS	345				hypothetical protein
AKMGFOCH_00107	CDS	963	argP_2			HTH-type transcriptional regulator ArgP
AKMGFOCH_00108	CDS	2592	pac	3.5.1.11		Penicillin G acylase
AKMGFOCH_00109	CDS	3615		3.6.3.-		Multidrug efflux ATP-binding/permease protein
AKMGFOCH_00110	CDS	966	gcvA_1			Glycine cleavage system transcriptional activator
AKMGFOCH_00111	CDS	1188	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
AKMGFOCH_00112	CDS	1014	argP_3			HTH-type transcriptional regulator ArgP
AKMGFOCH_00113	CDS	801				hypothetical protein
AKMGFOCH_00114	CDS	945	pgrR_2			HTH-type transcriptional regulator PgrR
AKMGFOCH_00115	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
AKMGFOCH_00116	CDS	1209	nepI_2		COG2814	Purine ribonucleoside efflux pump NepI
AKMGFOCH_00117	CDS	582	comR_1			HTH-type transcriptional repressor ComR
AKMGFOCH_00118	CDS	1566	dppA_1		COG0747	Periplasmic dipeptide transport protein
AKMGFOCH_00119	CDS	918	occR_1			Octopine catabolism/uptake operon regulatory protein OccR
AKMGFOCH_00120	CDS	1128	hcnC_1	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
AKMGFOCH_00121	CDS	297				hypothetical protein
AKMGFOCH_00122	CDS	1398	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
AKMGFOCH_00123	CDS	1140	soxB	1.5.3.1		Sarcosine oxidase subunit beta
AKMGFOCH_00124	CDS	942	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
AKMGFOCH_00125	CDS	873	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
AKMGFOCH_00126	CDS	1002	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
AKMGFOCH_00127	CDS	984	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
AKMGFOCH_00128	CDS	384				hypothetical protein
AKMGFOCH_00129	CDS	807				hypothetical protein
AKMGFOCH_00130	CDS	1041	purR_1		COG1609	HTH-type transcriptional repressor PurR
AKMGFOCH_00131	CDS	1341	exuT			Hexuronate transporter
AKMGFOCH_00132	CDS	1389	amiD_1	3.5.1.4	COG0154	Putative amidase AmiD
AKMGFOCH_00133	CDS	1392				hypothetical protein
AKMGFOCH_00134	CDS	699				hypothetical protein
AKMGFOCH_00135	CDS	1065				hypothetical protein
AKMGFOCH_00136	CDS	204				hypothetical protein
AKMGFOCH_00137	CDS	684				hypothetical protein
AKMGFOCH_00138	CDS	825				hypothetical protein
AKMGFOCH_00139	tRNA	76				tRNA-Ala(cgc)
AKMGFOCH_00140	CDS	783	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
AKMGFOCH_00141	CDS	480				hypothetical protein
AKMGFOCH_00142	CDS	660				hypothetical protein
AKMGFOCH_00143	CDS	777	ped	1.1.1.311		(S)-1-Phenylethanol dehydrogenase
AKMGFOCH_00144	CDS	804	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
AKMGFOCH_00145	CDS	1434	puuC_1	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
AKMGFOCH_00146	CDS	705	ribC	2.5.1.9	COG0307	Riboflavin synthase
AKMGFOCH_00147	CDS	1494				hypothetical protein
AKMGFOCH_00148	CDS	1302	ttuB			Putative tartrate transporter
AKMGFOCH_00149	CDS	915	cmpR_1			HTH-type transcriptional activator CmpR
AKMGFOCH_00150	CDS	585	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
AKMGFOCH_00151	CDS	2157	cadA_1	3.6.3.3		Cadmium-transporting ATPase
AKMGFOCH_00152	CDS	219				hypothetical protein
AKMGFOCH_00153	CDS	435	merR1			Mercuric resistance operon regulatory protein
AKMGFOCH_00154	CDS	1083				hypothetical protein
AKMGFOCH_00155	CDS	594	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
AKMGFOCH_00156	CDS	303				hypothetical protein
AKMGFOCH_00157	CDS	513	fecI_2		COG1595	putative RNA polymerase sigma factor FecI
AKMGFOCH_00158	CDS	972	fecR_2		COG3712	Protein FecR
AKMGFOCH_00159	CDS	2403	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
AKMGFOCH_00160	CDS	1233	bkdA1	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
AKMGFOCH_00161	CDS	1044	bkdA2	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
AKMGFOCH_00162	CDS	1359	bkdB	2.3.1.168	COG0508	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
AKMGFOCH_00163	CDS	1404	lpdV	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
AKMGFOCH_00164	CDS	2073				hypothetical protein
AKMGFOCH_00165	CDS	1422	argH_1	4.3.2.1	COG0165	Argininosuccinate lyase
AKMGFOCH_00166	CDS	1338	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
AKMGFOCH_00167	CDS	2106	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
AKMGFOCH_00168	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
AKMGFOCH_00169	CDS	864				hypothetical protein
AKMGFOCH_00170	CDS	360				hypothetical protein
AKMGFOCH_00171	CDS	213				hypothetical protein
AKMGFOCH_00172	CDS	1206	epsF_1		COG1459	Type II secretion system protein F
AKMGFOCH_00173	CDS	2613	sctC_1			Type 3 secretion system secretin
AKMGFOCH_00174	CDS	1428	hxcR_1		COG2804	putative type II secretion system protein HxcR
AKMGFOCH_00175	CDS	525				hypothetical protein
AKMGFOCH_00176	CDS	2157	btuB_1			Vitamin B12 transporter BtuB
AKMGFOCH_00177	CDS	756				hypothetical protein
AKMGFOCH_00178	CDS	588				hypothetical protein
AKMGFOCH_00179	CDS	993				hypothetical protein
AKMGFOCH_00180	CDS	945	xcpX_1		COG3156	Type II secretion system protein K
AKMGFOCH_00181	CDS	615	xcpW		COG4795	Type II secretion system protein J
AKMGFOCH_00182	CDS	405				hypothetical protein
AKMGFOCH_00183	CDS	489				hypothetical protein
AKMGFOCH_00184	CDS	429	xcpT_1		COG2165	Type II secretion system protein G
AKMGFOCH_00185	CDS	447				hypothetical protein
AKMGFOCH_00186	CDS	1995				hypothetical protein
AKMGFOCH_00187	CDS	180				hypothetical protein
AKMGFOCH_00188	CDS	2181	plcN_1	3.1.4.3	COG3511	Non-hemolytic phospholipase C
AKMGFOCH_00189	CDS	903	yofA_1		COG0583	HTH-type transcriptional regulator YofA
AKMGFOCH_00190	CDS	1629	ywrD_1	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
AKMGFOCH_00191	CDS	1515	gsiB_1		COG0747	Glutathione-binding protein GsiB
AKMGFOCH_00192	CDS	945	dppB_1		COG0601	Dipeptide transport system permease protein DppB
AKMGFOCH_00193	CDS	879	gsiD_2		COG1173	Glutathione transport system permease protein GsiD
AKMGFOCH_00194	CDS	1869	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
AKMGFOCH_00195	CDS	537	yaeQ		COG4681	putative protein YaeQ
AKMGFOCH_00196	CDS	600				hypothetical protein
AKMGFOCH_00197	CDS	699	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
AKMGFOCH_00198	tRNA	75				tRNA-Val(gac)
AKMGFOCH_00199	CDS	624	ubiC	4.1.3.40		Chorismate pyruvate-lyase
AKMGFOCH_00200	CDS	705	rluF_1	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
AKMGFOCH_00201	CDS	924	dmlR_1			HTH-type transcriptional regulator DmlR
AKMGFOCH_00202	CDS	1194	mexA_1			Multidrug resistance protein MexA
AKMGFOCH_00203	CDS	3183	ttgB		COG0841	putative efflux pump membrane transporter TtgB
AKMGFOCH_00204	CDS	1491	oprM_1		COG1538	Outer membrane protein OprM
AKMGFOCH_00205	CDS	252				hypothetical protein
AKMGFOCH_00206	CDS	624	ypmQ_1		COG1999	SCO1 protein 
AKMGFOCH_00207	CDS	732				hypothetical protein
AKMGFOCH_00208	CDS	2067	prlC	3.4.24.70	COG0339	Oligopeptidase A
AKMGFOCH_00209	CDS	852	folD		COG0190	Bifunctional protein FolD protein
AKMGFOCH_00210	CDS	627	tmoT_1			Response regulator protein TmoT
AKMGFOCH_00211	CDS	1782	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AKMGFOCH_00212	CDS	2709	aceE_1	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
AKMGFOCH_00213	CDS	1677	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
AKMGFOCH_00214	CDS	1773	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
AKMGFOCH_00215	CDS	774	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AKMGFOCH_00216	CDS	909	pgrR_3			HTH-type transcriptional regulator PgrR
AKMGFOCH_00217	CDS	195				hypothetical protein
AKMGFOCH_00218	CDS	870				hypothetical protein
AKMGFOCH_00219	CDS	1788				hypothetical protein
AKMGFOCH_00220	CDS	1599				hypothetical protein
AKMGFOCH_00221	CDS	762	fliA		COG1191	RNA polymerase sigma factor FliA
AKMGFOCH_00222	CDS	324	flhD_1			Flagellar transcriptional regulator FlhD
AKMGFOCH_00223	CDS	582	flhC			Flagellar transcriptional regulator FlhC
AKMGFOCH_00224	CDS	870	motA		COG1291	Motility protein A
AKMGFOCH_00225	CDS	990	motB		COG1360	Motility protein B
AKMGFOCH_00226	CDS	381	cheY_1		COG0784	Chemotaxis protein CheY 
AKMGFOCH_00227	CDS	2148	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
AKMGFOCH_00228	CDS	501	cheW		COG0835	Chemotaxis protein CheW
AKMGFOCH_00229	CDS	1707	tar_1		COG0840	Methyl-accepting chemotaxis protein II
AKMGFOCH_00230	CDS	837	cheR	2.1.1.80		Chemotaxis protein methyltransferase
AKMGFOCH_00231	CDS	1059	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
AKMGFOCH_00232	CDS	390	cheY_2		COG0784	Chemotaxis protein CheY
AKMGFOCH_00233	CDS	633	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
AKMGFOCH_00234	CDS	1548				hypothetical protein
AKMGFOCH_00235	CDS	1155	flhB		COG1377	Flagellar biosynthetic protein FlhB
AKMGFOCH_00236	CDS	2121	flhA		COG1298	Flagellar biosynthesis protein FlhA
AKMGFOCH_00237	CDS	2799	srp54			Signal recognition particle 54 kDa protein
AKMGFOCH_00238	CDS	477				hypothetical protein
AKMGFOCH_00239	CDS	294				hypothetical protein
AKMGFOCH_00240	CDS	714	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
AKMGFOCH_00241	CDS	408	flgB		COG1815	Flagellar basal body rod protein FlgB
AKMGFOCH_00242	CDS	420	flgC		COG1558	Flagellar basal-body rod protein FlgC
AKMGFOCH_00243	CDS	696	flgD		COG1843	Basal-body rod modification protein FlgD
AKMGFOCH_00244	CDS	1488				hypothetical protein
AKMGFOCH_00245	CDS	762	flgF		COG4787	Flagellar basal-body rod protein FlgF
AKMGFOCH_00246	CDS	786	flgG		COG4786	Flagellar basal-body rod protein FlgG
AKMGFOCH_00247	CDS	693	flgH			Flagellar L-ring protein
AKMGFOCH_00248	CDS	1137	flgI			Flagellar P-ring protein
AKMGFOCH_00249	CDS	984	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
AKMGFOCH_00250	CDS	1677	flgK		COG1256	Flagellar hook-associated protein 1
AKMGFOCH_00251	CDS	1260				hypothetical protein
AKMGFOCH_00252	CDS	1920	tar_2		COG0840	Methyl-accepting chemotaxis protein II
AKMGFOCH_00253	CDS	1872	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
AKMGFOCH_00254	CDS	474				hypothetical protein
AKMGFOCH_00255	CDS	1731	tar_3		COG0840	Methyl-accepting chemotaxis protein II
AKMGFOCH_00256	CDS	1596	aer_1		COG0840	Aerotaxis receptor
AKMGFOCH_00257	CDS	2070	fhuA_2		COG1629	Ferrichrome outer membrane transporter/phage receptor
AKMGFOCH_00258	CDS	789	fliR		COG1684	Flagellar biosynthetic protein FliR
AKMGFOCH_00259	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
AKMGFOCH_00260	CDS	783	fliP		COG1338	Flagellar biosynthetic protein FliP
AKMGFOCH_00261	CDS	324	fliO		COG3190	Flagellar protein FliO
AKMGFOCH_00262	CDS	567				hypothetical protein
AKMGFOCH_00263	CDS	1008	fliM		COG1868	Flagellar motor switch protein FliM
AKMGFOCH_00264	CDS	522				hypothetical protein
AKMGFOCH_00265	CDS	1371				hypothetical protein
AKMGFOCH_00266	CDS	450	fliJ		COG2882	Flagellar FliJ protein
AKMGFOCH_00267	CDS	1476	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
AKMGFOCH_00268	CDS	744	fliH		COG1317	Flagellar assembly protein FliH
AKMGFOCH_00269	CDS	1011	fliG		COG1536	Flagellar motor switch protein FliG
AKMGFOCH_00270	CDS	1671	fliF		COG1766	Flagellar M-ring protein
AKMGFOCH_00271	CDS	333	fliE		COG1677	Flagellar hook-basal body complex protein FliE
AKMGFOCH_00272	CDS	798	ycgR			Flagellar brake protein YcgR
AKMGFOCH_00273	CDS	324				hypothetical protein
AKMGFOCH_00274	CDS	1359				hypothetical protein
AKMGFOCH_00275	CDS	354	fliT			Flagellar protein FliT
AKMGFOCH_00276	CDS	429	fliS		COG1516	Flagellar secretion chaperone FliS
AKMGFOCH_00277	CDS	1392	fliD		COG1345	Flagellar hook-associated protein 2
AKMGFOCH_00278	CDS	378				hypothetical protein
AKMGFOCH_00279	CDS	738	kdgR_1		COG1414	Transcriptional regulator KdgR
AKMGFOCH_00280	CDS	1167		1.3.99.-	COG1960	Acyl-CoA dehydrogenase fadE12
AKMGFOCH_00281	CDS	1233	uctC_1	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
AKMGFOCH_00282	CDS	972				hypothetical protein
AKMGFOCH_00283	CDS	417				hypothetical protein
AKMGFOCH_00284	CDS	1311	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
AKMGFOCH_00285	CDS	840	dedD			Cell division protein DedD
AKMGFOCH_00286	CDS	489	cvpA		COG1286	Colicin V production protein
AKMGFOCH_00287	CDS	1521	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
AKMGFOCH_00288	CDS	513	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
AKMGFOCH_00289	CDS	486	dsbB_1			Disulfide bond formation protein B
AKMGFOCH_00290	CDS	714				hypothetical protein
AKMGFOCH_00291	CDS	2607	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
AKMGFOCH_00292	CDS	822	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
AKMGFOCH_00293	CDS	750	rpsB		COG0052	30S ribosomal protein S2
AKMGFOCH_00294	CDS	879	tsf		COG0264	Elongation factor Ts
AKMGFOCH_00295	CDS	663	pyrH	2.7.4.22	COG0528	Uridylate kinase
AKMGFOCH_00296	CDS	561	frr		COG0233	Ribosome-recycling factor
AKMGFOCH_00297	CDS	765	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
AKMGFOCH_00298	CDS	858				hypothetical protein
AKMGFOCH_00299	CDS	1200	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
AKMGFOCH_00300	CDS	1332	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
AKMGFOCH_00301	CDS	2346	bamA_1		COG4775	Outer membrane protein assembly factor BamA
AKMGFOCH_00302	CDS	561				hypothetical protein
AKMGFOCH_00303	CDS	1098	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
AKMGFOCH_00304	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
AKMGFOCH_00305	CDS	795	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
AKMGFOCH_00306	CDS	1197	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
AKMGFOCH_00307	CDS	609	rnhB	3.1.26.4	COG0164	Ribonuclease HII
AKMGFOCH_00308	CDS	789	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
AKMGFOCH_00309	CDS	438				hypothetical protein
AKMGFOCH_00310	CDS	828	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
AKMGFOCH_00311	CDS	2367	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
AKMGFOCH_00312	CDS	693				hypothetical protein
AKMGFOCH_00313	CDS	2466	fhuA_3		COG1629	Ferrichrome outer membrane transporter/phage receptor
AKMGFOCH_00314	CDS	915	fecR_3		COG3712	Protein FecR
AKMGFOCH_00315	CDS	504	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
AKMGFOCH_00316	CDS	843	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
AKMGFOCH_00317	CDS	738				hypothetical protein
AKMGFOCH_00318	CDS	441				hypothetical protein
AKMGFOCH_00319	CDS	927	qmcA		COG0330	Protein QmcA
AKMGFOCH_00320	CDS	1191				hypothetical protein
AKMGFOCH_00321	CDS	468	smpB		COG0691	SsrA-binding protein
AKMGFOCH_00322	CDS	435	pasT		COG2867	Persistence and stress-resistance toxin PasT
AKMGFOCH_00323	CDS	348	rnfH			Protein RnfH
AKMGFOCH_00324	CDS	1155	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
AKMGFOCH_00325	CDS	1176	fadJ_1	5.1.2.3		Fatty acid oxidation complex subunit alpha
AKMGFOCH_00326	CDS	891	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
AKMGFOCH_00327	CDS	438	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
AKMGFOCH_00328	CDS	690				hypothetical protein
AKMGFOCH_00329	CDS	999	ygfZ		COG0354	tRNA-modifying protein YgfZ
AKMGFOCH_00330	CDS	90				hypothetical protein
AKMGFOCH_00331	CDS	1140	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
AKMGFOCH_00332	CDS	624	tmk	2.7.4.9		Thymidylate kinase
AKMGFOCH_00333	CDS	1050				hypothetical protein
AKMGFOCH_00334	CDS	771	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
AKMGFOCH_00335	CDS	933				hypothetical protein
AKMGFOCH_00336	CDS	738	kdgR_2		COG1414	Transcriptional regulator KdgR
