locus_tag	ftype	length_bp	gene	EC_number	COG	product
APNAJNJK_00093	CDS	633	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
APNAJNJK_00094	CDS	525				hypothetical protein
APNAJNJK_00095	CDS	591				hypothetical protein
APNAJNJK_00096	CDS	951				hypothetical protein
APNAJNJK_00097	CDS	732	lutR_1		COG2186	HTH-type transcriptional regulator LutR
APNAJNJK_00098	CDS	1392	ribZ_1			Riboflavin transporter RibZ
APNAJNJK_00099	CDS	2430	fpvA_1		COG4773	Ferripyoverdine receptor
APNAJNJK_00100	CDS	972				hypothetical protein
APNAJNJK_00101	CDS	546	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
APNAJNJK_00102	CDS	1653		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
APNAJNJK_00103	CDS	1065				hypothetical protein
APNAJNJK_00104	CDS	1227	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
APNAJNJK_00105	CDS	762	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
APNAJNJK_00106	CDS	2148	FCS1_1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
APNAJNJK_00107	CDS	654				hypothetical protein
APNAJNJK_00108	CDS	342				hypothetical protein
APNAJNJK_00109	CDS	1149				hypothetical protein
APNAJNJK_00110	CDS	771	xynR_1		COG1414	HTH-type transcriptional regulator XynR
APNAJNJK_00111	CDS	1233	entS_2		COG0477	Enterobactin exporter EntS
APNAJNJK_00112	CDS	411				hypothetical protein
APNAJNJK_00113	CDS	798				hypothetical protein
APNAJNJK_00114	CDS	2016	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
APNAJNJK_00115	CDS	1608		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
APNAJNJK_00116	CDS	1182	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
APNAJNJK_00117	CDS	1866	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
APNAJNJK_00118	CDS	1179	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
APNAJNJK_00119	CDS	1179	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
APNAJNJK_00120	CDS	972				hypothetical protein
APNAJNJK_00121	CDS	333				hypothetical protein
APNAJNJK_00122	CDS	384				hypothetical protein
APNAJNJK_00123	CDS	1068				hypothetical protein
APNAJNJK_00124	CDS	627	leuE_1		COG1280	Leucine efflux protein
APNAJNJK_00125	CDS	699	nfnB	1.-.-.-	COG0778	Nitroreductase NfnB
APNAJNJK_00126	CDS	1194	metC_1	4.4.1.13	COG0626	Cystathionine beta-lyase
APNAJNJK_00127	CDS	960				hypothetical protein
APNAJNJK_00128	CDS	1212				hypothetical protein
APNAJNJK_00129	CDS	633	dsbA			Thiol:disulfide interchange protein DsbA
APNAJNJK_00130	CDS	717				hypothetical protein
APNAJNJK_00131	CDS	1701	argS	6.1.1.19		Arginine--tRNA ligase
APNAJNJK_00132	CDS	345				hypothetical protein
APNAJNJK_00133	CDS	318				hypothetical protein
APNAJNJK_00134	CDS	801	lacG			Lactose transport system permease protein LacG
APNAJNJK_00135	CDS	876	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
APNAJNJK_00136	CDS	1296	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
APNAJNJK_00137	CDS	1056	msiK_1	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
APNAJNJK_00138	CDS	798	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
APNAJNJK_00139	CDS	1014	cytR		COG1609	HTH-type transcriptional repressor CytR
APNAJNJK_00140	CDS	1014	amiD_1	3.5.1.4	COG0154	Putative amidase AmiD
APNAJNJK_00141	CDS	1707	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
APNAJNJK_00142	CDS	978				hypothetical protein
APNAJNJK_00143	CDS	651				hypothetical protein
APNAJNJK_00144	CDS	1428	rpoN_1		COG1508	RNA polymerase sigma-54 factor
APNAJNJK_00145	CDS	207				hypothetical protein
APNAJNJK_00146	CDS	279	relE2		COG3668	Toxin RelE2
APNAJNJK_00147	CDS	282				hypothetical protein
APNAJNJK_00148	CDS	921	gltC_1			HTH-type transcriptional regulator GltC
APNAJNJK_00149	CDS	915				hypothetical protein
APNAJNJK_00150	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
APNAJNJK_00151	CDS	687				hypothetical protein
APNAJNJK_00152	CDS	1608	prfC		COG4108	Peptide chain release factor 3
APNAJNJK_00153	CDS	630	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
APNAJNJK_00154	CDS	1506	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
APNAJNJK_00155	CDS	1473	ydgA_1		COG5339	Protein YdgA
APNAJNJK_00156	CDS	1437	ydgA_2		COG5339	Protein YdgA
APNAJNJK_00157	CDS	1209			COG1228	putative protein
APNAJNJK_00158	CDS	1728	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
APNAJNJK_00159	CDS	927	dppC_1		COG1173	Dipeptide transport system permease protein DppC
APNAJNJK_00160	CDS	972	dppB_1		COG0601	Dipeptide transport system permease protein DppB
APNAJNJK_00161	CDS	1608	gsiB_1		COG0747	Glutathione-binding protein GsiB
APNAJNJK_00162	CDS	1371				hypothetical protein
APNAJNJK_00163	CDS	1431				putative membrane protein
APNAJNJK_00164	CDS	888	rhaS_2			HTH-type transcriptional activator RhaS
APNAJNJK_00165	CDS	894				hypothetical protein
APNAJNJK_00166	CDS	1209	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase
APNAJNJK_00167	CDS	474				hypothetical protein
APNAJNJK_00168	CDS	903	gcvA_1			Glycine cleavage system transcriptional activator
APNAJNJK_00169	CDS	414				hypothetical protein
APNAJNJK_00170	tRNA	76				tRNA-Asn(gtt)
APNAJNJK_00171	CDS	1389	gntT		COG2610	High-affinity gluconate transporter
APNAJNJK_00172	tRNA	76				tRNA-Thr(tgt)
APNAJNJK_00173	CDS	681				hypothetical protein
APNAJNJK_00174	CDS	444				hypothetical protein
APNAJNJK_00175	CDS	612	sspA		COG0625	Stringent starvation protein A
APNAJNJK_00176	CDS	855				hypothetical protein
APNAJNJK_00177	CDS	1389	fbcH		COG1290	Cytochrome b/c1
APNAJNJK_00178	CDS	642				hypothetical protein
APNAJNJK_00179	CDS	453	mscL		COG1970	Large-conductance mechanosensitive channel
APNAJNJK_00180	CDS	777			COG0327	GTP cyclohydrolase 1 type 2 
APNAJNJK_00181	CDS	1161	degP_1	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
APNAJNJK_00182	CDS	390				hypothetical protein
APNAJNJK_00183	CDS	792	tatC		COG0805	Sec-independent protein translocase protein TatC
APNAJNJK_00184	CDS	600	tatB			Sec-independent protein translocase protein TatB
APNAJNJK_00185	CDS	228	tatA			Sec-independent protein translocase protein TatA
APNAJNJK_00186	CDS	369		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
APNAJNJK_00187	CDS	351	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
APNAJNJK_00188	CDS	405	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
APNAJNJK_00189	CDS	819	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
APNAJNJK_00190	CDS	741	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
APNAJNJK_00191	CDS	699	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
APNAJNJK_00192	CDS	588	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
APNAJNJK_00193	CDS	1092	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
APNAJNJK_00194	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
APNAJNJK_00195	CDS	675	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
APNAJNJK_00196	CDS	1281	murA_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
APNAJNJK_00197	CDS	246	ibaG		COG5007	Acid stress protein IbaG
APNAJNJK_00198	CDS	813	yadH_1		COG0842	Inner membrane transport permease YadH
APNAJNJK_00199	CDS	798	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
APNAJNJK_00200	CDS	630	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
APNAJNJK_00201	CDS	810	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
APNAJNJK_00202	CDS	501	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
APNAJNJK_00203	CDS	789	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
APNAJNJK_00204	CDS	837	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
APNAJNJK_00205	CDS	1062	pnoA_1	1.13.12.-		Nitronate monooxygenase
APNAJNJK_00206	CDS	978				hypothetical protein
APNAJNJK_00207	CDS	1227				hypothetical protein
APNAJNJK_00208	CDS	873	gltR_1		COG0583	HTH-type transcriptional regulator GltR
APNAJNJK_00209	CDS	642	ompW		COG3047	Outer membrane protein W
APNAJNJK_00210	CDS	918	hdfR_1			HTH-type transcriptional regulator HdfR
APNAJNJK_00211	CDS	771	pxpA_1	3.5.2.9	COG1540	5-oxoprolinase subunit A
APNAJNJK_00212	CDS	243	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
APNAJNJK_00213	CDS	1389	accC_1	6.3.4.14	COG0439	Biotin carboxylase
APNAJNJK_00214	CDS	876	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
APNAJNJK_00215	CDS	990	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
APNAJNJK_00216	CDS	1338				hypothetical protein
APNAJNJK_00217	CDS	1467	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
APNAJNJK_00218	CDS	4740	gltB	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
APNAJNJK_00219	CDS	804				hypothetical protein
APNAJNJK_00220	CDS	864	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
APNAJNJK_00221	CDS	690				hypothetical protein
APNAJNJK_00222	CDS	885	rpoH		COG0568	RNA polymerase sigma factor RpoH
APNAJNJK_00223	CDS	843	cpdA_2	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
APNAJNJK_00224	CDS	2772	nhaP2			K(+)/H(+) antiporter NhaP2
APNAJNJK_00225	CDS	807	idi	5.3.3.2		Isopentenyl-diphosphate Delta-isomerase
APNAJNJK_00226	CDS	1158				hypothetical protein
APNAJNJK_00227	CDS	1608	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
APNAJNJK_00228	CDS	129				hypothetical protein
APNAJNJK_00229	CDS	225				hypothetical protein
APNAJNJK_00230	CDS	876	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
APNAJNJK_00231	CDS	201				hypothetical protein
APNAJNJK_00232	CDS	801				hypothetical protein
APNAJNJK_00233	CDS	636				hypothetical protein
APNAJNJK_00234	CDS	1035	ctaA	1.3.-.-		Heme A synthase
APNAJNJK_00235	CDS	891	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
APNAJNJK_00236	CDS	606	ypmQ_1		COG1999	SCO1 protein 
APNAJNJK_00237	CDS	222				hypothetical protein
APNAJNJK_00238	CDS	819				hypothetical protein
APNAJNJK_00239	CDS	792				hypothetical protein
APNAJNJK_00240	CDS	1374	glmU			Bifunctional protein GlmU
APNAJNJK_00241	CDS	1392	ribZ_2			Riboflavin transporter RibZ
APNAJNJK_00242	CDS	1323	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
APNAJNJK_00243	CDS	1062	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
APNAJNJK_00244	CDS	489	lrp_2		COG1522	Leucine-responsive regulatory protein
APNAJNJK_00245	CDS	1833	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
APNAJNJK_00246	CDS	1020	adhT_1	1.1.1.1		Alcohol dehydrogenase
APNAJNJK_00247	CDS	843				hypothetical protein
APNAJNJK_00248	CDS	1194	pbuE_1		COG2814	Purine efflux pump PbuE
APNAJNJK_00249	CDS	888	rhaS_3			HTH-type transcriptional activator RhaS
APNAJNJK_00250	CDS	2217	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
APNAJNJK_00251	CDS	954	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
APNAJNJK_00252	CDS	1017	yfiZ_1		COG0609	putative siderophore transport system permease protein YfiZ
APNAJNJK_00253	CDS	1026	fepG_1		COG4779	Ferric enterobactin transport system permease protein FepG
APNAJNJK_00254	CDS	789	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
APNAJNJK_00255	CDS	1338	moxC	1.14.-.-	COG2141	Putative monooxygenase MoxC
APNAJNJK_00256	CDS	495				hypothetical protein
APNAJNJK_00257	CDS	1026				hypothetical protein
APNAJNJK_00258	CDS	798	speE_1	2.5.1.16		Polyamine aminopropyltransferase
APNAJNJK_00259	CDS	909				hypothetical protein
APNAJNJK_00260	CDS	678			COG1462	Putative lipoprotein/NMB1164
APNAJNJK_00261	CDS	507				hypothetical protein
APNAJNJK_00262	CDS	651			COG4380	Putative lipoprotein/NMB1162
APNAJNJK_00263	CDS	1557	nadB	1.4.3.16	COG0029	L-aspartate oxidase
APNAJNJK_00264	CDS	1176	nadA	2.5.1.72	COG0379	Quinolinate synthase A
APNAJNJK_00265	CDS	1239				putative transporter
APNAJNJK_00266	CDS	948	dmlR_3			HTH-type transcriptional regulator DmlR
APNAJNJK_00267	CDS	960		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
APNAJNJK_00268	CDS	1068	ocd	4.3.1.12	COG2423	Ornithine cyclodeaminase
APNAJNJK_00269	CDS	1110	engB_1			GTP-binding protein EngB
APNAJNJK_00270	CDS	831	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
APNAJNJK_00271	CDS	918				hypothetical protein
APNAJNJK_00272	CDS	1401	opuE		COG0591	Osmoregulated proline transporter OpuE
APNAJNJK_00273	CDS	1047	gpuA	3.5.3.17	COG0010	Guanidinopropionase
APNAJNJK_00274	CDS	1446	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
APNAJNJK_00275	CDS	1032		2.4.-.-		putative glycosyltransferase
APNAJNJK_00276	CDS	3186	czcA			Cobalt-zinc-cadmium resistance protein CzcA
APNAJNJK_00277	CDS	1215	czcB			Cobalt-zinc-cadmium resistance protein CzcB
APNAJNJK_00278	CDS	1254	czcC			Cobalt-zinc-cadmium resistance protein CzcC
APNAJNJK_00279	CDS	342				hypothetical protein
APNAJNJK_00280	CDS	690	czcR_1			Transcriptional activator protein CzcR
APNAJNJK_00281	CDS	1341	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
APNAJNJK_00282	CDS	369				hypothetical protein
APNAJNJK_00283	CDS	999				hypothetical protein
APNAJNJK_00284	CDS	1182	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
APNAJNJK_00285	CDS	1926		3.1.3.5	COG0737	NAD 5'-nucleotidase
APNAJNJK_00286	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
APNAJNJK_00287	CDS	333	frmR		COG1937	Transcriptional repressor FrmR
APNAJNJK_00288	CDS	744	nagR		COG2188	HTH-type transcriptional repressor NagR
APNAJNJK_00289	CDS	621	ves			Protein Ves
APNAJNJK_00290	CDS	1692	hutU_1	4.2.1.49	COG2987	Urocanate hydratase
APNAJNJK_00291	CDS	1425				hypothetical protein
APNAJNJK_00292	CDS	1530	hutH_1	4.3.1.3	COG2986	Histidine ammonia-lyase
APNAJNJK_00293	CDS	1218	hutI	3.5.2.7	COG1228	Imidazolonepropionase
APNAJNJK_00294	CDS	1623				hypothetical protein
APNAJNJK_00295	CDS	1410	ribZ_3			Riboflavin transporter RibZ
APNAJNJK_00296	CDS	516				hypothetical protein
APNAJNJK_00297	CDS	726				hypothetical protein
APNAJNJK_00298	CDS	2346				hypothetical protein
APNAJNJK_00299	CDS	996				hypothetical protein
APNAJNJK_00300	CDS	2061				hypothetical protein
APNAJNJK_00301	CDS	1704	entS_3			Enterobactin exporter EntS
APNAJNJK_00302	CDS	324				hypothetical protein
APNAJNJK_00303	CDS	1236	msrP_1	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
APNAJNJK_00304	CDS	405				hypothetical protein
APNAJNJK_00305	CDS	210				hypothetical protein
APNAJNJK_00306	CDS	732	pqqC	1.3.3.11		Pyrroloquinoline-quinone synthase
APNAJNJK_00307	CDS	339				hypothetical protein
APNAJNJK_00308	CDS	342				hypothetical protein
APNAJNJK_00309	CDS	342	nqrF_1	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
APNAJNJK_00310	CDS	717	rspR_1		COG1802	HTH-type transcriptional repressor RspR
APNAJNJK_00311	CDS	738				hypothetical protein
APNAJNJK_00312	CDS	1533				hypothetical protein
APNAJNJK_00313	CDS	1461	aldHT	1.2.1.5		Aldehyde dehydrogenase, thermostable
APNAJNJK_00314	CDS	480				hypothetical protein
APNAJNJK_00315	CDS	1017	ascD_1	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
APNAJNJK_00316	CDS	438	teaD_1		COG0589	TRAP-T-associated universal stress protein TeaD
APNAJNJK_00317	CDS	1710	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
APNAJNJK_00318	CDS	885				hypothetical protein
APNAJNJK_00319	CDS	978	dppB_2		COG0601	Dipeptide transport system permease protein DppB
APNAJNJK_00320	CDS	1689	gsiB_2		COG0747	Glutathione-binding protein GsiB
APNAJNJK_00321	CDS	984				hypothetical protein
APNAJNJK_00322	CDS	1242	soxC_1			Dibenzothiophene desulfurization enzyme C
APNAJNJK_00323	CDS	1215	soxC_2			Dibenzothiophene desulfurization enzyme C
APNAJNJK_00324	CDS	1371	dmoA	1.14.13.131		Dimethyl-sulfide monooxygenase
APNAJNJK_00325	CDS	807	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
APNAJNJK_00326	CDS	594	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
APNAJNJK_00327	CDS	966	ssuA_1			Putative aliphatic sulfonates-binding protein
APNAJNJK_00328	CDS	1173	msuD	1.14.14.5	COG2141	Methanesulfonate monooxygenase
APNAJNJK_00329	CDS	783	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
APNAJNJK_00330	CDS	1227	sfnC	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
APNAJNJK_00331	CDS	810	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
APNAJNJK_00332	CDS	663	metI_1		COG2011	D-methionine transport system permease protein MetI
APNAJNJK_00333	CDS	834	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
APNAJNJK_00334	CDS	906	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
APNAJNJK_00335	CDS	216				hypothetical protein
APNAJNJK_00336	CDS	1302				hypothetical protein
APNAJNJK_00337	CDS	894				hypothetical protein
APNAJNJK_00338	CDS	945				hypothetical protein
APNAJNJK_00339	CDS	795	pdaA	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
APNAJNJK_00340	CDS	1014				hypothetical protein
APNAJNJK_00341	CDS	498				hypothetical protein
APNAJNJK_00342	CDS	1548				hypothetical protein
APNAJNJK_00343	CDS	591	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
APNAJNJK_00344	CDS	2430	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
APNAJNJK_00345	CDS	900	fdnH		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
APNAJNJK_00346	CDS	648	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
APNAJNJK_00347	CDS	960	fdhE		COG3058	Protein FdhE
APNAJNJK_00348	CDS	1434	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
APNAJNJK_00349	CDS	1938	selB		COG3276	Selenocysteine-specific elongation factor
APNAJNJK_00350	tRNA	96				tRNA-SeC(tca)
