Entry	Feature	Location	Qualifier	Value
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	14137..14925	gene	bacC_1
			locus_tag	HBIAX_00013
			EC_number	1.1.1.385
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P39640
			codon_start	1
			transl_table	11
			product	Dihydroanticapsin 7-dehydrogenase
				
	CDS	14993..16234	gene	styA
			locus_tag	HBIAX_00014
			EC_number	1.14.14.11
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O06834
			codon_start	1
			transl_table	11
			product	Styrene monooxygenase StyA
				
	CDS	16234..16743	gene	ntaB
			locus_tag	HBIAX_00015
			EC_number	1.5.1.42
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P54990
			codon_start	1
			transl_table	11
			product	FMN reductase (NADH) NtaB
				
	CDS	16837..18465	gene	carA2
			locus_tag	HBIAX_00016
			EC_number	1.3.99.29
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P54979
			codon_start	1
			transl_table	11
			product	zeta-carotene-forming phytoene desaturase
				
	CDS	18462..19355	locus_tag	HBIAX_00017
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	19487..19861	locus_tag	HBIAX_00018
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	19875..20297	locus_tag	HBIAX_00019
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(20391..21458)	gene	feaR
			locus_tag	HBIAX_00020
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q47129
			codon_start	1
			transl_table	11
			product	Transcriptional activator FeaR
				
	CDS	complement(21690..21992)	locus_tag	HBIAX_00021
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(21976..22359)	locus_tag	HBIAX_00022
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	22645..23640	gene	hcaB_1
			locus_tag	HBIAX_00023
			EC_number	1.3.1.87
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01647
			codon_start	1
			transl_table	11
			product	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
				
	CDS	complement(23645..24634)	locus_tag	HBIAX_00024
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(24712..25755)	gene	ghrB_1
			locus_tag	HBIAX_00025
			EC_number	1.1.1.81
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01667
			codon_start	1
			transl_table	11
			product	Glyoxylate/hydroxypyruvate reductase B
				
	CDS	complement(25752..26420)	gene	ligK_1
			locus_tag	HBIAX_00026
			EC_number	4.1.3.17
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:G2IQQ8
			codon_start	1
			transl_table	11
			product	4-carboxy-4-hydroxy-2-oxoadipate aldolase
				
	CDS	complement(26551..27450)	gene	gltR_1
			locus_tag	HBIAX_00027
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P94501
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator GltR
				
	CDS	27618..28775	gene	mdlB_1
			locus_tag	HBIAX_00028
			EC_number	1.1.99.31
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P20932
			codon_start	1
			transl_table	11
			product	(S)-mandelate dehydrogenase
				
	CDS	complement(28786..30306)	locus_tag	HBIAX_00029
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9K165
			codon_start	1
			transl_table	11
			product	TPR repeat-containing protein
				
	CDS	complement(30493..31383)	locus_tag	HBIAX_00030
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(31624..34410)	gene	pupB_1
			locus_tag	HBIAX_00031
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P38047
			codon_start	1
			transl_table	11
			product	Ferric-pseudobactin BN7/BN8 receptor
				
	CDS	complement(34623..35618)	gene	fecR_1
			locus_tag	HBIAX_00032
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P23485
			codon_start	1
			transl_table	11
			product	Protein FecR
				
	CDS	complement(35634..36155)	gene	fecI_1
			locus_tag	HBIAX_00033
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P23484
			codon_start	1
			transl_table	11
			product	putative RNA polymerase sigma factor FecI
				
	CDS	36550..36702	locus_tag	HBIAX_00034
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(37021..37686)	locus_tag	HBIAX_00035
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(37796..39085)	locus_tag	HBIAX_00036
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	39185..40114	gene	argP_1
			locus_tag	HBIAX_00037
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00513
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator ArgP
				
	CDS	complement(40263..41126)	locus_tag	HBIAX_00038
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	41276..41824	locus_tag	HBIAX_00039
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	41952..42719	gene	ttrB
			locus_tag	HBIAX_00040
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q7CQM9
			codon_start	1
			transl_table	11
			product	Tetrathionate reductase subunit B
				
	CDS	42733..43767	gene	ttrC
			locus_tag	HBIAX_00041
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9Z4S7
			codon_start	1
			transl_table	11
			product	Tetrathionate reductase subunit C
				
	CDS	43805..46990	gene	ttrA
			locus_tag	HBIAX_00042
			EC_number	1.8.-.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9Z4S6
			codon_start	1
			transl_table	11
			product	Tetrathionate reductase subunit A
				
	CDS	complement(47050..48387)	locus_tag	HBIAX_00043
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(48384..48944)	locus_tag	HBIAX_00044
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(48941..49462)	gene	dsbE
			locus_tag	HBIAX_00045
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9I3N1
			codon_start	1
			transl_table	11
			product	Thiol:disulfide interchange protein DsbE
				
	CDS	complement(49464..51479)	gene	ccmF
			locus_tag	HBIAX_00046
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P33927
			codon_start	1
			transl_table	11
			product	Cytochrome c-type biogenesis protein CcmF
				
	CDS	complement(51476..51931)	gene	ccmE
			locus_tag	HBIAX_00047
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8EK44
			codon_start	1
			transl_table	11
			product	Cytochrome c-type biogenesis protein CcmE
				
	CDS	complement(51928..52089)	locus_tag	HBIAX_00048
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(52086..52859)	gene	ccmC
			locus_tag	HBIAX_00049
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ABM1
			codon_start	1
			transl_table	11
			product	Heme exporter protein C
				
	CDS	complement(52872..53537)	gene	ccmB
			locus_tag	HBIAX_00050
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ABL8
			codon_start	1
			transl_table	11
			product	Heme exporter protein B
				
	CDS	complement(53503..54219)	gene	btuD_1
			locus_tag	HBIAX_00051
			EC_number	7.6.2.8
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01005
			codon_start	1
			transl_table	11
			product	Vitamin B12 import ATP-binding protein BtuD
				
	CDS	complement(54206..54838)	gene	napC
			locus_tag	HBIAX_00052
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q53178
			codon_start	1
			transl_table	11
			product	Cytochrome c-type protein NapC
				
	CDS	complement(54855..55331)	gene	napB
			locus_tag	HBIAX_00053
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P39186
			codon_start	1
			transl_table	11
			product	"Periplasmic nitrate reductase, electron transfer subunit"
				
	CDS	complement(55348..57843)	gene	napA_1
			locus_tag	HBIAX_00054
			EC_number	1.9.6.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P39185
			codon_start	1
			transl_table	11
			product	Periplasmic nitrate reductase
				
	CDS	complement(57827..58168)	gene	napD
			locus_tag	HBIAX_00055
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_02200
			codon_start	1
			transl_table	11
			product	Chaperone NapD
				
	CDS	complement(58168..58326)	locus_tag	HBIAX_00056
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(58935..59789)	gene	kce_1
			locus_tag	HBIAX_00057
			EC_number	2.3.1.247
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8RHX2
			codon_start	1
			transl_table	11
			product	3-keto-5-aminohexanoate cleavage enzyme
				
	CDS	complement(59786..60748)	gene	paaH_1
			locus_tag	HBIAX_00058
			EC_number	1.1.1.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76083
			codon_start	1
			transl_table	11
			product	3-hydroxyadipyl-CoA dehydrogenase
				
	CDS	60933..61832	gene	gltC_1
			locus_tag	HBIAX_00059
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P20668
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator GltC
				
	CDS	complement(61861..62544)	locus_tag	HBIAX_00060
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(62563..64338)	gene	araC_1
			locus_tag	HBIAX_00061
			EC_number	4.2.1.25
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q1JUQ1
			codon_start	1
			transl_table	11
			product	L-arabonate dehydratase
				
	CDS	64559..65554	locus_tag	HBIAX_00062
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	65868..67865	gene	pdeR
			locus_tag	HBIAX_00063
			EC_number	3.1.4.52
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77334
			codon_start	1
			transl_table	11
			product	Cyclic di-GMP phosphodiesterase PdeR
				
	CDS	complement(67887..68678)	gene	fadB_1
			locus_tag	HBIAX_00064
			EC_number	5.3.3.8
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01621
			codon_start	1
			transl_table	11
			product	Fatty acid oxidation complex subunit alpha
				
	CDS	69207..71306	gene	cntO_1
			locus_tag	HBIAX_00065
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A0A0H2ZI93
			codon_start	1
			transl_table	11
			product	Metal-pseudopaline receptor CntO
				
	CDS	71473..71832	locus_tag	HBIAX_00066
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	71813..72133	locus_tag	HBIAX_00067
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(72149..73132)	locus_tag	HBIAX_00068
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(73292..74236)	locus_tag	HBIAX_00069
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(74311..75462)	gene	yfdE_1
			locus_tag	HBIAX_00070
			EC_number	2.8.3.19
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76518
			codon_start	1
			transl_table	11
			product	Acetyl-CoA:oxalate CoA-transferase
				
	CDS	complement(75459..76295)	locus_tag	HBIAX_00071
			EC_number	4.2.1.150
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q0AVM1
			codon_start	1
			transl_table	11
			product	Crotonyl-CoA hydratase
				
	CDS	complement(76415..77113)	locus_tag	HBIAX_00072
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(77166..77909)	gene	fabG_1
			locus_tag	HBIAX_00073
			EC_number	1.1.1.100
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P99093
			codon_start	1
			transl_table	11
			product	3-oxoacyl-[acyl-carrier-protein] reductase FabG
				
	CDS	78035..78955	gene	pgrR_1
			locus_tag	HBIAX_00074
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77333
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator PgrR
				
	CDS	complement(78934..80328)	locus_tag	HBIAX_00075
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(80446..82605)	gene	fptA_1
			locus_tag	HBIAX_00076
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P42512
			codon_start	1
			transl_table	11
			product	Fe(3+)-pyochelin receptor
				
	CDS	82744..83502	gene	nimR_1
			locus_tag	HBIAX_00077
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76241
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator NimR
				
	CDS	complement(83519..84328)	locus_tag	HBIAX_00078
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(84377..84823)	gene	rppH_1
			locus_tag	HBIAX_00079
			EC_number	3.6.1.-
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00298
			codon_start	1
			transl_table	11
			product	RNA pyrophosphohydrolase
				
	CDS	complement(84820..85419)	gene	tetR
			locus_tag	HBIAX_00080
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P03038
			codon_start	1
			transl_table	11
			product	Tetracycline repressor protein class A from transposon 1721
				
	CDS	85501..86697	gene	tetA_1
			locus_tag	HBIAX_00081
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P02981
			codon_start	1
			transl_table	11
			product	"Tetracycline resistance protein, class C"
				
	CDS	86841..87716	gene	cynR_2
			locus_tag	HBIAX_00082
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P27111
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator CynR
				
	CDS	87880..88665	gene	cloR_1
			locus_tag	HBIAX_00083
			EC_number	1.13.11.83
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8GHB1
			codon_start	1
			transl_table	11
			product	4-hydroxy-3-prenylphenylpyruvate oxygenase/4-hydroxy-3-prenylbenzoate synthase
				
	CDS	88709..90037	gene	abaF_1
			locus_tag	HBIAX_00084
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0DPR5
			codon_start	1
			transl_table	11
			product	Fosfomycin resistance protein AbaF
				
	CDS	90045..90644	gene	nsaD_1
			locus_tag	HBIAX_00085
			EC_number	5.99.1.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9X9Q7
			codon_start	1
			transl_table	11
			product	2-hydroxychromene-2-carboxylate isomerase
				
	CDS	complement(90775..92061)	locus_tag	HBIAX_00086
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(92229..92972)	gene	mngR_1
			locus_tag	HBIAX_00087
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P13669
			codon_start	1
			transl_table	11
			product	Mannosyl-D-glycerate transport/metabolism system repressor MngR
				
	CDS	complement(92984..94591)	gene	fadD3_1
			locus_tag	HBIAX_00088
			EC_number	6.2.1.41
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P96843
			codon_start	1
			transl_table	11
			product	"3-[(3aS,4S,7aS)-7a-methyl-1, 5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase"
				
	CDS	complement(94596..95630)	locus_tag	HBIAX_00089
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	95789..96793	locus_tag	HBIAX_00090
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
				
	CDS	96790..97512	gene	fabG_2
			locus_tag	HBIAX_00091
			EC_number	1.1.1.100
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P50941
			codon_start	1
			transl_table	11
			product	3-oxoacyl-[acyl-carrier-protein] reductase FabG
				
	CDS	complement(97561..97947)	locus_tag	HBIAX_00092
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(98039..99010)	locus_tag	HBIAX_00093
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	99050..99709	gene	inhA
			locus_tag	HBIAX_00094
			EC_number	4.2.1.103
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8G9F9
			codon_start	1
			transl_table	11
			product	Isonitrile hydratase
				
	CDS	complement(99666..100148)	gene	lrp_1
			locus_tag	HBIAX_00095
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ACJ0
			codon_start	1
			transl_table	11
			product	Leucine-responsive regulatory protein
				
				
	CDS	100281..100910	gene	leuE_1
			locus_tag	HBIAX_00096
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76249
			codon_start	1
			transl_table	11
			product	Leucine efflux protein
				
	CDS	complement(101002..102900)	gene	atm1_1
			locus_tag	HBIAX_00097
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q2G506
			codon_start	1
			transl_table	11
			product	ATM1-type heavy metal exporter
				
	CDS	complement(103295..105187)	gene	siaT_1
			locus_tag	HBIAX_00098
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P44543
			codon_start	1
			transl_table	11
			product	Sialic acid TRAP transporter permease protein SiaT
				
	CDS	complement(105184..106197)	locus_tag	HBIAX_00099
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P44992
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	106484..107260	locus_tag	HBIAX_00100
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	107305..108477	gene	fadA_1
			locus_tag	HBIAX_00101
			EC_number	2.3.1.16
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01620
			codon_start	1
			transl_table	11
			product	3-ketoacyl-CoA thiolase
				
	CDS	108474..110144	locus_tag	HBIAX_00102
			EC_number	6.2.1.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WQ37
			codon_start	1
			transl_table	11
			product	Long-chain-fatty-acid--CoA ligase FadD13
				
	CDS	110213..110977	gene	bacC_2
			locus_tag	HBIAX_00103
			EC_number	1.1.1.385
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P39640
			codon_start	1
			transl_table	11
			product	Dihydroanticapsin 7-dehydrogenase
				
	CDS	111036..111599	locus_tag	HBIAX_00104
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	111602..111994	locus_tag	HBIAX_00105
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	112069..112413	locus_tag	HBIAX_00106
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(112400..113362)	gene	argP_2
			locus_tag	HBIAX_00107
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00513
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator ArgP
				
	CDS	113513..116104	gene	pac
			locus_tag	HBIAX_00108
			EC_number	3.5.1.11
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P06875
			codon_start	1
			transl_table	11
			product	Penicillin G acylase
				
	CDS	complement(116070..119684)	locus_tag	HBIAX_00109
			EC_number	3.6.3.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A1KF14
			codon_start	1
			transl_table	11
			product	Multidrug efflux ATP-binding/permease protein
				
				
	CDS	119778..120743	gene	gcvA_1
			locus_tag	HBIAX_00110
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A9F6
			codon_start	1
			transl_table	11
			product	Glycine cleavage system transcriptional activator
				
	CDS	120967..122154	gene	abo_1
			locus_tag	HBIAX_00111
			EC_number	1.5.3.19
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8GAI3
			codon_start	1
			transl_table	11
			product	4-methylaminobutanoate oxidase (formaldehyde-forming)
				
	CDS	complement(122193..123206)	gene	argP_3
			locus_tag	HBIAX_00112
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00513
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator ArgP
				
	CDS	complement(123228..124028)	locus_tag	HBIAX_00113
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(124324..125268)	gene	pgrR_2
			locus_tag	HBIAX_00114
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77333
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator PgrR
				
	CDS	125449..126642	gene	nepI_1
			locus_tag	HBIAX_00115
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ADL1
			codon_start	1
			transl_table	11
			product	Purine ribonucleoside efflux pump NepI
				
	CDS	complement(126701..127909)	gene	nepI_2
			locus_tag	HBIAX_00116
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ADL1
			codon_start	1
			transl_table	11
